variant,scenario_id,branch,side,signal_observed_ns,opened_ns,closed_ns,entry_reference,stop_price,target_price,planned_loss,gross_realized_pnl,native_net_realized_pnl,native_commissions,extra_composite_cost,net_pnl,realized_r,nav_before,nav_after,net_reward_to_risk_at_signal,reason_code
baseline,session-sweep-2f8987105de84879e1,REVERSAL,SELL,1641834300000000000,1641834300000000000,1641835740000000000,41736.17,42150.3103,40854.259999999995,2999.7228474948,5545.3872,5446.77013171,98.61706828999999,290.87972971,5155.890402,1.7187889228852957,100000.0,105155.890402,1.7188099948720243,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-37c8fb64932fcf31d0,REVERSAL,SELL,1642268040000000000,1642268040000000000,1642268760000000000,43325.01,43442.46776666667,42960.15,3154.541786606041,-2030.6350000000002,-2300.5478683,269.9128683,854.7240829499999,-3155.27195125,-1.0002314645654906,105155.890402,102000.61845075,1.6443356181503999,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-651141ef64c1438edf,REVERSAL,SELL,1642350900000000000,1642350900000000000,1642358520000000000,43339.49,43438.161,42970.555,3059.9116959395,6893.2654,6586.90413222,306.36126778000005,903.23162867,5683.67250355,1.8574629166888144,102000.61845075,107684.2909543,1.8576769035166867,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-c004d2dc422ff81205,REVERSAL,BUY,1642581780000000000,1642581780000000000,1642590360000000000,41311.25,41111.33733333333,41816.3,3230.528541258208,6234.4493,6039.43883633,195.01046366999998,574.521585705,5464.917250625001,1.6916480324599008,107684.2909543,113149.208204925,1.6914568523311413,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-8f0655e919337af8b0,REVERSAL,SELL,1644249840000000000,1644249840000000000,1644251760000000000,43709.44,43932.20386666666,43044.744999999995,3394.4333415013216,-2621.4647999999997,-2807.07919181,185.61439181,587.77890739,-3394.8580991999997,-1.0001251336102215,113149.208204925,109754.350105725,2.0784732986823378,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-b73db0d77f16adbf7c,REVERSAL,SELL,1644485700000000000,1644485700000000000,1644487200000000000,44315.87,44402.2907,43958.79,3292.60233362115,-1859.8464000000001,-2203.60103517,343.75463517000003,1088.55634473,-3292.1573799000003,-0.9998648625992255,109754.350105725,106462.19272582499,1.901642894343728,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-a3e9c6f4966f2f68f6,REVERSAL,BUY,1645114320000000000,1645114320000000000,1645121700000000000,41983.4,41561.473,42842.0,3193.4194648025,-2780.321,-2879.4219603799997,99.10096038,313.81970787,-3193.2416682499997,-0.9999443240844306,106462.19272582499,103268.95105757499,1.6405375235676911,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-ac36c609e01ec74f36,REVERSAL,SELL,1646068140000000000,1646068140000000000,1646068860000000000,40856.1,40938.011333333336,39395.5,3097.930826520891,-1771.0874999999996,-2089.47103425,318.38353425,1008.2145251249999,-3097.6855593749997,-0.999920828720967,103268.95105757499,100171.2654982,9.775523101821433,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-d7748dde3f99d95690,REVERSAL,BUY,1646323740000000000,1646323740000000000,1646328240000000000,42581.8,42232.382333333335,43206.5,3004.780907356238,-2541.8849999999998,-2652.9491949,111.06419489999999,351.70328385,-3004.65247875,-0.9999572585788455,100171.2654982,97166.61301945,1.3567079310656833,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-5d81fb4707483ce8a3,REVERSAL,BUY,1646330820000000000,1646330820000000000,1646332380000000000,42490.9,42297.91733333334,43206.5,2914.9403912929242,-2192.673,-2366.0644002199997,173.39140021999998,549.0727673800001,-2915.1371676,-1.0000675061169908,97166.61301945,94251.47585185,2.538551217394788,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-750b734ac7d287b054,REVERSAL,BUY,1646411940000000000,1646411940000000000,1646420640000000000,40747.6,40513.058,41213.75,2827.5198253015,-2243.9305,-2383.89555489,139.96505489,443.222673835,-2827.118228725,-0.999857968608069,94251.47585185,91424.357623125,1.369530001783306,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-0d634947029d49a412,REVERSAL,SELL,1646813100000000000,1646813100000000000,1646815440000000000,41709.6,42004.90233333333,40266.1,2742.5976010282243,-2261.7027,-2377.11318399,115.41048399,365.4665326349999,-2742.579716625,-0.9999934790276133,91424.357623125,88681.7779065,3.859435150569133,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
baseline,session-sweep-e62e93ee5339fe4d0b,REVERSAL,SELL,1648404840000000000,1648404840000000000,1648405320000000000,44892.1,44930.244,44669.0,2660.348252212,-961.4144000000001,-1369.07484197,407.66044197,1290.9247329300001,-2659.9995749,-0.9998689354629756,88681.7779065,86021.77833160001,1.477850959994034,SESSION_TRANSITION_SWEEP_RECLAIM_MSS
