trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-1b375d13a6a4e2d5-18075,MARKET,BUY,589923.8,GTC,False,False,589923.8,TAKER,1.0524975718897933,0.0,['465.67002533 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260801-200959-001-000-1,"['O-20260801-200959-001-000-2', 'O-20260801-200959-001-000-3']",,,,,['ENTRY'],b4982040-8d63-4655-a8f8-f153f1ef406f,2026-08-01 20:09:59.999000+00:00,2026-08-01 20:10:59.999000+00:00
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-004,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-a411e8b10119218f-18769,MARKET,SELL,589923.8,GTC,True,False,589923.8,TAKER,1.059801136519666,0.0,['468.90143528 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ca6ae784-6218-46df-b0b9-92bbe14d0483,2026-08-01 23:59:59.999000+00:00,2026-08-02 00:00:59.999000+00:00
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-005,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-3ddc028cf8bbfc1b-38346,MARKET,BUY,380538.4,GTC,False,False,380538.4,TAKER,1.0433759082132055,0.0,['297.78344904 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260806-040959-001-000-2,"['O-20260806-040959-001-000-6', 'O-20260806-040959-001-000-7']",,,,,['ENTRY'],65d0ebcf-7944-4f61-8805-caef9a636ca8,2026-08-06 04:09:59.999000+00:00,2026-08-06 04:10:59.999000+00:00
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-008,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-095183ce8b89576a-39112,MARKET,SELL,380538.4,GTC,True,False,380538.4,TAKER,1.0485033279952825,0.0,['299.24683413 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,53c02d06-0212-4978-991c-4de8d82e0e3f,2026-08-06 07:59:59.999000+00:00,2026-08-06 08:00:59.999000+00:00
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-009,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-dbf20a7d2175f697-47907,MARKET,SELL,440481.1,GTC,False,False,440481.1,TAKER,1.0353364171357184,0.0,['342.03459292 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260808-040959-001-000-3,"['O-20260808-040959-001-000-10', 'O-20260808-040959-001-000-11']",,,,,['ENTRY'],8aa3ef67-7eb3-496a-b19f-a3a1df3345dc,2026-08-08 04:09:59.999000+00:00,2026-08-08 04:10:59.999000+00:00
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-012,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-d850069938f4b911-48606,MARKET,BUY,440481.1,GTC,True,False,440481.1,TAKER,1.0343912932473152,0.0,['341.72236101 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c3d83994-1feb-4a1e-9db9-544a9531781e,2026-08-08 07:59:59.999000+00:00,2026-08-08 08:00:59.999000+00:00
