scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,actual_entry_price,opened_ts_ns,opened_bar_index,forced_exit_reason,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
SLT-1708963320000000000-000013,SAC,LONG,1708963500000000000,2024-02-26,16,1708963560000000000,52914.7,52939.5,52865.4,54106.6,ACCEPTED_SESSION_RANGE_PROJECTION,52885.5,92.09499999999971,20.22,100000.0,3000.0,148.36342999999852,7.360086848895374,0.0007,DIRECTIONAL_FLOW,52939.6,1708963560000000000,965,TIMEOUT,53404.5,1708968960000000000,2024-02-26,17,90.0,7895.0836086,0.008781705944132587,2.6316945362,TIMEOUT
SLT-1709012820000000000-000021,SAC,LONG,1709013000000000000,2024-02-27,5,1709013060000000000,56238.0,56238.8,56169.8,56695.2,ACCEPTED_SESSION_RANGE_PROJECTION,56175.1,52.850000000000364,21.889,107895.0836086,3236.852508258,147.87103050000783,2.5505076871698287,0.0007,DIRECTIONAL_FLOW,56238.899999999994,1709013060000000000,1790,,56169.7,1709013240000000000,2024-02-27,5,3.0,-3237.07709178,-0.0012304650339888777,-1.0000693833041288,STOP
SLT-1709035680000000000-000028,SAC,LONG,1709035920000000000,2024-02-27,12,1709035980000000000,56668.2,56664.0,56616.700000000004,56899.8,ACCEPTED_SESSION_RANGE_PROJECTION,56629.9,47.47499999999927,24.762,104658.00651682,3139.7401955046,126.79649000000292,1.231148748675924,0.0007,DIRECTIONAL_FLOW,56664.11353283257,1709035980000000000,2172,,56899.7,1709036700000000000,2024-02-27,12,12.0,3865.14509451,0.004157595565858866,1.2310397847707324,OTHER_EXIT
SLT-1709107380000000000-000042,SAC,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58486.4,58407.299999999996,59763.100000000006,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,20.205,108523.15161133,3255.6945483399,161.12558999999854,7.408663949655763,0.0007,DIRECTIONAL_FLOW,58486.5,1709107740000000000,3368,,58407.2,1709107920000000000,2024-02-28,8,3.0,-3255.54254595,-0.0013558684482744378,-0.9999533118394116,STOP
SLT-1709485260000000000-000128,SAC,LONG,1709485440000000000,2024-03-03,17,1709485500000000000,62950.7,62958.8,62921.2,63718.8,ACCEPTED_SESSION_RANGE_PROJECTION,62929.9,86.70499999999956,25.086,105267.60906538,3158.0282719614,125.88652065000163,5.331195719245509,0.0007,DIRECTIONAL_FLOW,62958.899999999994,1709485500000000000,9664,,62921.100000000006,1709485740000000000,2024-03-03,17,4.0,-3158.728776,-0.000600391684098489,-1.0002218168991137,STOP
