ts,symbol,role,price,quantity,cost
1763393760000000000,ETHUSDT-PERP.BINANCE,entry,3123.33,9.158,5.72069123
1763395380000000000,ETHUSDT-PERP.BINANCE,exit,3093.41,9.158,20.59232317
1763444880000000000,ETHUSDT-PERP.BINANCE,entry,3013.32,17.048,10.27421587
1763451540000000000,ETHUSDT-PERP.BINANCE,exit,3027.49,17.048,38.84143323
1763472060000000000,ETHUSDT-PERP.BINANCE,entry,3046.08,23.281,14.1831577
1763472120000000000,ETHUSDT-PERP.BINANCE,exit,3037.04,23.281,56.83509911
1763501100000000000,SOLUSDT-PERP.BINANCE,entry,141.0,353.5,9.9687
1763501580000000000,SOLUSDT-PERP.BINANCE,exit,140.37,353.5,45.80756964
1763510580000000000,XRPUSDT-PERP.BINANCE,entry,2.2122,20395.6,9.02382926
1763511480000000000,XRPUSDT-PERP.BINANCE,exit,2.2019,20395.6,44.03951506
1763517780000000000,SOLUSDT-PERP.BINANCE,entry,140.31,203.68,5.71566816
1763520600000000000,SOLUSDT-PERP.BINANCE,exit,141.71,203.68,5.77269856
1763593320000000000,SOLUSDT-PERP.BINANCE,entry,135.4,397.41,10.7618628
1763593500000000000,SOLUSDT-PERP.BINANCE,exit,135.94,397.41,46.28882536
1763633040000000000,BTCUSDT-PERP.BINANCE,entry,91806.9,0.507,9.30921966
1763645520000000000,BTCUSDT-PERP.BINANCE,exit,92397.7,0.507,9.36912678
1763671320000000000,SOLUSDT-PERP.BINANCE,entry,133.45,206.98,5.5242962
1763673660000000000,SOLUSDT-PERP.BINANCE,exit,134.61,206.98,22.45184626
1763735460000000000,SOLUSDT-PERP.BINANCE,entry,127.76,217.76,5.56420352
1763735820000000000,SOLUSDT-PERP.BINANCE,exit,128.83,217.76,20.83527384
1763752620000000000,SOLUSDT-PERP.BINANCE,entry,128.92,142.43,3.67241512
1763756940000000000,SOLUSDT-PERP.BINANCE,exit,126.49,142.43,3.60319414
1763768520000000000,BTCUSDT-PERP.BINANCE,entry,85074.09999999999,0.674,11.46798868
1763770140000000000,BTCUSDT-PERP.BINANCE,exit,85374.7,0.674,47.45412262
1763787300000000000,XRPUSDT-PERP.BINANCE,entry,1.935,10564.2,4.0883454
1763790060000000000,XRPUSDT-PERP.BINANCE,exit,1.913,10564.2,18.07458207
1763845920000000000,XRPUSDT-PERP.BINANCE,entry,1.9268,22706.3,8.75009977
1763848380000000000,XRPUSDT-PERP.BINANCE,exit,1.9355,22706.3,8.78960873
1763922180000000000,ETHUSDT-PERP.BINANCE,entry,2807.0,10.118,5.6802452
