symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,parent_guard,rebound_ts,tip,tip_ts,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1755183300000000000,1755179700000000000,1755179100000000000,60.0,118836.1,119314.0,117907.3,1.943502824858787,market,118836.1,119314.0,118841.7,118880.0,0.016970909048062532,40,11,0.6400538315506231,0.5173690890879692,124545.6,1755180900000000000,119313.9,1755182880000000000,0.10191846704811858,0.39698706000517986,1.0,149
BTCUSDT,-1,1755192960000000000,1755190500000000000,1755189300000000000,60.0,117895.6,118093.1,117437.90000000001,2.317468354430365,market,117895.6,118093.1,117956.5,117930.9,-0.10667681425254893,21,21,0.7282399157720675,1.4591363907632997,124545.6,1755191700000000000,118093.0,1755192420000000000,0.024583170598732385,-0.6456788881896984,0.0,151
BTCUSDT,-1,1755206640000000000,1755203400000000000,1755202500000000000,60.0,117970.2,118151.5,117692.40000000001,1.5322669608383006,market,117970.2,118151.5,118086.8,118017.1,0.059391563001742975,34,16,1.4679604418116332,0.35024984988234203,124545.6,1755204600000000000,118151.4,1755205980000000000,-0.805887513944026,1.060470877469498,1.0,155
BTCUSDT,-1,1755212640000000000,1755210900000000000,1755207900000000000,60.0,118187.9,118300.1,118053.6,1.196969696969469,market,118187.9,118300.1,118300.0,118193.6,-0.08922544058326154,19,51,0.44636526938600646,1.4023790590449963,124545.6,1755211500000000000,118297.2,1755212100000000000,0.5506358337345966,-0.5477356536444274,0.25,156
BTCUSDT,1,1755235980000000000,1755233700000000000,1755232800000000000,60.0,118723.5,118569.59999999999,118922.9,1.2956465237165877,market,118569.59999999999,118723.5,118720.9,118718.2,-0.24985028738691628,28,16,0.7041082481063751,0.6682018018846624,117255.0,1755234300000000000,118569.7,1755235320000000000,-0.044130870349299134,-0.42342736270731673,0.25,156
BTCUSDT,1,1755251400000000000,1755250200000000000,1755249000000000000,60.0,118734.9,118633.59999999999,118846.0,1.0967423494570843,market,118633.59999999999,118734.9,118633.7,118698.4,-0.04764751257683997,15,21,0.5881489537711676,1.2528831668908773,117255.0,1755250500000000000,118651.3,1755251100000000000,-0.2657990772738523,-0.2158526399138784,0.5,161
BTCUSDT,-1,1755308520000000000,1755305700000000000,1755300300000000000,60.0,117718.7,117814.5,117578.5,1.4634655532358334,market,117718.7,117814.5,117747.0,117726.0,0.19524343219910456,27,91,0.875320975656649,1.1714628050480271,119184.0,1755306900000000000,117814.4,1755308280000000000,0.2644031440701663,-0.6356411167824081,0.0,168
BTCUSDT,-1,1755334320000000000,1755330900000000000,1755329100000000000,60.0,117579.1,117632.90000000001,117446.90000000001,2.457249070631783,market,117579.1,117632.90000000001,117631.6,117596.7,-0.32430620670684984,27,31,0.4904585141441348,1.447540634666115,119184.0,1755332700000000000,117632.8,1755333660000000000,0.12275165965081958,-0.6437686355734977,0.0,172
BTCUSDT,-1,1755336720000000000,1755333900000000000,1755332700000000000,60.0,117600.1,117665.0,117493.3,1.6456086286596685,market,117600.1,117665.0,117632.8,117613.1,-0.08212566778557506,27,21,1.2173207478689163,0.5898041952926757,119184.0,1755335100000000000,117664.9,1755335700000000000,0.4268889065436591,-0.3919274826513601,0.25,172
ETHUSDT,1,1754792460000000000,1754788800000000000,1754787300000000000,60.0,4288.0,4265.99,4320.51,1.4770558836892274,market,4265.99,4288.0,4285.85,4286.0,-0.18791462271562664,41,26,0.47580559616965323,1.5748464019988972,4152.57,1754790000000000000,4266.0,1754791980000000000,-0.7726270484127955,0.3234647319424068,0.75,95
