symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,zone_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,parent_guard,rebound_ts,tip,tip_ts,origin_ts,defended_ts,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1763352360000000000,1763346600000000000,1763344800000000000,15.0,95504.2,95541.70000000001,94856.40000000001,17.274666666659652,limit,OB,95504.2,95510.0,95384.6,95352.0,-0.0923924331217636,66,31,0.8317765807191465,0.556600004451146,95544.8,1763348400000000000,95541.6,1763352120000000000,1763352120000000000,1763351760000000000,0.06943419093340936,0.04482750755434535,0.75,86
BTCUSDT,1,1763390220000000000,1763370900000000000,1763368200000000000,15.0,94561.9,93511.7,95909.0,1.2827080556084647,limit,OB,94465.6,94561.9,95268.9,94340.0,-0.03223212306575185,172,46,1.9620836558817412,0.6463227505268698,92922.8,1763379900000000000,93511.8,1763387580000000000,1763390040000000000,1763386620000000000,0.1199087227243183,5.323586820746315,1.0,86
BTCUSDT,-1,1763425140000000000,1763419500000000000,1763415900000000000,15.0,92173.2,92371.0,91753.90000000001,2.1198179979776652,limit,OB,92173.2,92225.7,92370.9,92080.0,-0.14478797483933992,34,61,0.7324878473137866,2.172221649827342,96012.2,1763423100000000000,92335.4,1763424360000000000,1763424960000000000,1763424120000000000,0.16675898860139393,0.49598673570283347,1.0,92
BTCUSDT,1,1763632860000000000,1763622000000000000,1763615700000000000,15.0,91806.8,91388.4,92397.79999999999,1.4125239005735495,limit,OB,91800.0,91806.8,91640.2,91900.0,-0.14875232344978218,121,106,0.7256429763836609,0.8850290525825976,88564.4,1763625600000000000,91388.5,1763632200000000000,1763632680000000000,1763631360000000000,1.043517681315257,0.35958157730225865,1.0,125
BTCUSDT,-1,1763763660000000000,1763751600000000000,1763749800000000000,15.0,85074.2,85374.6,83418.5,5.511651131824064,limit,OB,85074.2,85092.2,85055.6,85104.9,-0.06855422423037205,96,31,0.5241770100143793,0.8433515041297014,88214.1,1763757900000000000,85374.5,1763761980000000000,1763763600000000000,1763761620000000000,-0.10321635496516307,0.3945505805862063,1.0,148
ETHUSDT,1,1763393340000000000,1763388000000000000,1763379900000000000,15.0,3123.32,3093.4199999999996,3210.2099999999996,2.9060200668895595,limit,OB,3119.79,3123.32,3093.43,3137.77,-0.11434637873391629,44,136,2.4093073791965938,1.2354384018349145,3100.7,1763390700000000000,3103.0,1763392800000000000,1763393160000000000,1763392620000000000,0.5814099551131542,0.40358469446281653,1.0,87
ETHUSDT,-1,1763444340000000000,1763438400000000000,1763435700000000000,15.0,3013.33,3027.48,2956.6400000000003,4.006360424028214,limit,OB,3013.33,3015.44,3027.47,3011.1,0.021271916606619423,39,46,0.5922358020459253,2.6730357195684773,3210.22,1763442000000000000,3023.0,1763443380000000000,1763444280000000000,1763443140000000000,-0.093165752139509,0.5032688286915954,1.0,98
ETHUSDT,1,1763471880000000000,1763468100000000000,1763462700000000000,15.0,3046.07,3037.0499999999997,3064.99,2.0975609756096123,limit,OB,3045.35,3046.07,3037.06,3048.0,0.03014506306332687,33,91,1.0115739693744048,3.300823939862064,2943.31,1763469900000000000,3038.6,1763471280000000000,1763471700000000000,1763471100000000000,0.4303002776904806,-0.04392915656187704,0.5,105
ETHUSDT,-1,1763599980000000000,1763594100000000000,1763591400000000000,15.0,3041.96,3047.76,3003.42,6.644827586206682,limit,OB,3041.96,3044.45,3023.62,3036.77,0.1017344398125718,38,46,1.3592460893855254,0.9022438789100934,3112.96,1763597700000000000,3047.75,1763599080000000000,1763599740000000000,1763598900000000000,0.11903843127479252,1.2946568758730987,1.0,124
ETHUSDT,-1,1763752740000000000,1763746200000000000,1763741700000000000,15.0,2767.33,2805.9500000000003,2714.86,1.3586224754013292,limit,OB,2767.33,2770.31,2805.94,2765.49,-0.0012349286203310328,49,76,0.6926526170522256,2.9109659437098494,2904.83,1763749800000000000,2793.43,1763751120000000000,1763752620000000000,1763750880000000000,0.01956181312446925,0.8182324140742155,1.0,146
ETHUSDT,-1,1763798640000000000,1763787600000000000,1763785800000000000,15.0,2750.28,2770.01,2726.01,1.2301064368981227,limit,FVG,2750.28,2751.0,2748.99,2756.66,-0.03483493180393138,139,31,1.3363071470941592,0.5928055970054855,2904.83,1763790300000000000,2770.0,1763794860000000000,1763798520000000000,1763794260000000000,0.1880586672716148,0.7612368129214848,1.0,153
