plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_15,context_60,location_60,sweep_15,sweep_60,impulse_range,impulse_efficiency,impulse_activity,impulse_flow,opponent_reclaimed,footprint_gap,footprint_body,break_strength,pullback_depth,pullback_efficiency,pullback_activity,pullback_flow,pullback_duration,response_range,response_flow,response_activity,innovation_fast,innovation_slow,impact_slope,market_15,market_60,relative_15,relative_60,market_dispersion,risk_range,cost_r,planned_rr,obstacle_distance,source_age,risk_bps,participation,parent_scale,parent_range,parent_age,transfer_distance,event_activity,event_flow,event_progress,auction_value_distance,higher_protected_distance,higher_control_age,response_age,test_flow,test_price_progress,test_activity,test_value_reclaimed,test_seconds,micro_response_flow,micro_response_range,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:MICRO:BTCUSDT:15m:PIVOT:LOW:448:s2:1709664455000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:LOW:448:s2,BTCUSDT,1,1709664455000000000,1709658480000000000,64452.5,63500.0,65705.2,1.3151706036745376,64536.6,15,BTCUSDT:15m:PIVOT:LOW:448:s2,FIRST_RESPONSE_EXTREME,64390.5,64515.6,65705.3,63500.0,NESTED_LIQUIDITY_MICRO_RESPONSE,-1,1,,1.0,0.0,1.5713771284531166,0.2923258017283462,0.8495789308852004,-0.013210536392549209,0.7373836102680225,0.0,0.19306548690776051,-1.673234219867284,0.5680859746973207,,,,,,,,,,,,,,,,1.4699830238180978,0.0812,1.3151706036745376,1.93327846082617,3.533333333333333,147.7832512315271,,1.0986122886681098,7.428468542620508,3.533333333333333,4.01023715211689,1.2632959688858691,-0.03733592474554683,0.7373836102680225,,0.6915479191316404,92.66666666666667,13.516666666666667,-0.37148133200082,-0.11960491794845415,1.9190102849358164,0.0008747647763285723,65.0,0.6897717114013476,0.054015124234785744,10000.0,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1709664455000000000,1709665845000000000,64459.299999999996,63493.40000000001,0.289,-297.63426515000003,23.166666666666668,False,0.0,-297.63426515000003,-0.9921142171666668,
BTCUSDT:MICRO:BTCUSDT:15m:PIVOT:HIGH:558:s2:1709758675000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:HIGH:558:s2,BTCUSDT,-1,1709758675000000000,1709756220000000000,67128.3,67425.3,66815.1,1.0545454545454447,67322.2,15,BTCUSDT:15m:PIVOT:HIGH:558:s2,FIRST_RESPONSE_EXTREME,67052.0,67166.4,67425.3,66815.0,NESTED_LIQUIDITY_MICRO_RESPONSE,-1,1,,1.0,0.0,1.009999674277743,0.3258101122178878,1.2907570693039503,0.12681113738808505,1.487247972378747,1.0,0.9615321976482832,-0.866551578124478,0.5133540881533695,,,,,,,,,,,,,,,,1.1608742386241468,0.2712254545454545,1.0545454545454447,1.224194651639998,2.1333333333333333,44.24363494979018,,1.0986122886681098,2.5648675938894336,2.1333333333333333,2.7563922999250674,1.2952479785458937,0.13889513466392345,1.487247972378747,,9.413243868277899,25.583333333333332,4.583333333333333,0.09119823049766702,-0.35529787303348515,0.7904033780322292,0.13677249888183246,650.0,0.7365019804044194,0.06683821373893191,9702.36573485,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1709758675000000000,1709758890000000000,67120.7,66815.1,0.753,194.78350239,3.5833333333333335,False,0.0,194.78350239,0.6691959044255075,
BTCUSDT:MICRO:BTCUSDT:15m:PIVOT:HIGH:774:s2:1709953910000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:HIGH:774:s2,BTCUSDT,-1,1709953910000000000,1709952000000000000,68209.1,68280.8,68130.1,1.1018131101813557,68218.8,15,BTCUSDT:15m:PIVOT:HIGH:774:s2,FIRST_RESPONSE_EXTREME,68209.7,68216.4,68280.8,68130.0,NESTED_LIQUIDITY_MICRO_RESPONSE,1,1,,1.0,0.0,0.7208588957055313,0.2530509691313791,0.9644220886480108,-0.104700404899443,0.6339468302658573,0.0,0.06850715746418386,-2.1145194274029215,0.5245358090185961,,,,,,,,,,,,,,,,0.7331288343558084,1.141574895397536,1.1018131101813557,0.8077709611452053,3.6666666666666665,10.511793880874706,,1.0986122886681098,3.170756646216872,3.6666666666666665,3.381390593047051,1.0752689756571294,-0.16607965368960537,0.6339468302658573,,12.200408997955147,80.16666666666667,0.36666666666666664,0.18506272488573378,-0.004089979550191581,0.5191211437274212,0.02599083960711266,30.0,0.8946265243902439,0.033742331288224986,9897.149237239999,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1709953910000000000,1709954335000000000,68200.0,68290.20000000001,1.799,-285.0427349,7.083333333333333,False,0.0,-285.0427349,-0.9600162904400453,
BTCUSDT:MICRO:BTCUSDT:15m:PIVOT:HIGH:781:s2:1709959880000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:HIGH:781:s2,BTCUSDT,-1,1709959880000000000,1709958960000000000,68323.7,68374.8,68226.6,1.9001956947158554,68337.0,15,BTCUSDT:15m:PIVOT:HIGH:781:s2,FIRST_RESPONSE_EXTREME,68325.6,68337.9,68374.8,68226.5,NESTED_LIQUIDITY_MICRO_RESPONSE,1,1,,1.0,0.0,0.9943702954013665,0.3632834165280323,1.1356911060041965,-0.1490837093514127,1.1674362704787677,0.0,0.1867290783729043,-1.2266430514264626,0.6554281861092055,,,,,,,,,,,,,,,,0.7757606426719941,1.6044704500976643,1.9001956947158554,1.4740970333353283,4.4,7.479103151615885,,1.0986122886681098,6.502119046113101,4.4,2.966411537731622,1.3907710226510999,-0.1490837093514128,1.1674362704787677,,16.54601809096097,81.75,1.2666666666666666,0.06608048698004737,-0.04402555506348359,0.6139897045464379,0.06420164556133093,25.0,0.9378156565656566,0.09412360048069585,9612.10650234,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1709959880000000000,1709960160000000000,68314.20000000001,68384.6,1.983,-275.1400602,4.666666666666667,False,0.0,-275.1400602,-0.9541441657733716,
BTCUSDT:MICRO:BTCUSDT:15m:PIVOT:HIGH:843:s2:1710020185000000000,BTCUSDT:LQC:BTCUSDT:15m:PIVOT:HIGH:843:s2,BTCUSDT,-1,1710020185000000000,1710016740000000000,68399.3,68425.3,68266.3,5.115384615384615,68391.8,15,BTCUSDT:15m:PIVOT:HIGH:843:s2,FIRST_RESPONSE_EXTREME,68404.9,68424.3,68425.3,68266.2,NESTED_LIQUIDITY_MICRO_RESPONSE,-1,1,,1.0,0.0,0.7611125552376526,0.07352350341500814,1.1499781142771435,-0.16856892197488174,1.5908500129971124,0.0,0.4034312451262467,-1.938133610605572,0.8365807668133309,,,,,,,,,,,,,,,,0.5406810501689533,3.1568907692307695,5.115384615384615,2.7657915258642607,6.6,3.8012084918997706,,1.0986122886681098,4.009357941252914,6.6,4.223550818819604,0.9260732236741743,-0.00810312616600886,1.5908500129971124,,21.51702625422363,98.33333333333333,3.283333333333333,0.21496439882837612,0.033272680010215556,0.8764260530228754,0.14416989336771213,65.0,0.37916456970307,0.29529503509221394,9336.966442140001,1.0,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1710020185000000000,1710020530000000000,68389.1,68435.7,2.303,-264.8735572,5.75,False,0.0,-264.8735572,-0.9456089007116244,
