scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,favorable_drift_guard_enabled,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome
SLT-1708940040000000000-000013,SAC,SHORT,1708940280000000000,2024-02-26,9,1708940340000000000,51063.1,51035.5,51085.9,50814.4,ACCEPTED_SESSION_RANGE_PROJECTION,51080.0,59.365000000000144,24.565,100000.0,3000.0,122.12150555000345,1.2250509795651168,0.0007,DIRECTIONAL_BODY,False,51035.4,1708940340000000000,578,51086.0,1708942320000000000,2024-02-26,10,33.0,-2999.0175337,-0.000991468666846905,-0.9996725112333333,STOP
SLT-1708963320000000000-000024,SAC,LONG,1708963500000000000,2024-02-26,16,1708963560000000000,52914.7,52939.5,52865.4,53363.100000000006,ACCEPTED_SESSION_RANGE_PROJECTION,52885.5,92.09499999999971,19.614,97000.9824663,2910.029473989,148.36342999999852,2.352252034076066,0.0007,DIRECTIONAL_BODY,False,52939.6,1708963560000000000,965,53363.0,1708963740000000000,2024-02-26,16,3.0,6845.05416252,0.007997793712079454,2.3522284649361165,OTHER_EXIT
SLT-1709015820000000000-000044,SAC,LONG,1709015940000000000,2024-02-27,6,1709016000000000000,56378.8,56429.0,56360.899999999994,56627.9,ACCEPTED_SESSION_RANGE_PROJECTION,56365.7,47.55,21.163,103846.03662882,3115.3810988646,147.2079615000003,0.8121854876714255,0.0007,DIRECTIONAL_BODY,False,56429.100000000006,1709016000000000000,1839,56360.8,1709016540000000000,2024-02-27,6,9.0,-3116.31375759,-0.0012103684092073575,-1.0002993722744675,STOP
SLT-1709087460000000000-000080,SAC,LONG,1709087820000000000,2024-02-28,2,1709087880000000000,56985.8,57024.0,56962.0,57198.899999999994,ACCEPTED_SESSION_RANGE_PROJECTION,56964.5,25.134999999999856,21.28,100729.72287123,3021.8916861369,142.0036905500009,0.6671937161143088,0.0007,DIRECTIONAL_BODY,False,57024.1,1709087880000000000,3037,56961.842218045116,1709088540000000000,2024-02-28,2,11.0,-3022.78019528,-0.001091780176361966,-1.0002940241528762,STOP
SLT-1709107380000000000-000089,SAC,LONG,1709107680000000000,2024-02-28,8,1709107740000000000,58481.0,58486.4,58407.299999999996,59483.6,ACCEPTED_SESSION_RANGE_PROJECTION,58472.8,131.2850000000013,18.192,97706.94267595,2931.2082802785,161.12558999999854,5.6752065267845575,0.0007,DIRECTIONAL_BODY,False,58486.5,1709107740000000000,3368,58407.2,1709107920000000000,2024-02-28,8,3.0,-2931.19673328,-0.0013558684482744378,-0.999996060669391,STOP
SLT-1709109720000000000-000090,SAC,LONG,1709109900000000000,2024-02-28,8,1709109960000000000,58884.8,58896.0,58820.0,59469.7,ACCEPTED_SESSION_RANGE_PROJECTION,58848.3,103.29499999999935,17.927,94775.74594267,2843.2723782800995,158.60119999999998,3.0935706035011363,0.0007,DIRECTIONAL_BODY,False,58896.1,1709109960000000000,3405,59469.6,1709110620000000000,2024-02-28,8,11.0,8795.77516727,0.009737486862457786,3.0935394141135997,TARGET
SLT-1709141460000000000-000102,SAC,SHORT,1709141700000000000,2024-02-28,17,1709141760000000000,61118.4,61019.6,61488.5,58536.0,ACCEPTED_SESSION_RANGE_PROJECTION,61418.0,705.2249999999997,5.599,103571.52110994,3107.1456332982,554.8781857500006,4.324752966737071,0.0007,DIRECTIONAL_BODY,False,61019.5,1709141760000000000,3935,61488.600000000006,1709142300000000000,2024-02-28,17,9.0,-3106.63689633,-0.007687706388941336,-0.9998362687082485,STOP
SLT-1709215800000000000-000134,SAC,LONG,1709215980000000000,2024-02-29,14,1709216040000000000,63151.3,63188.1,63131.2,64017.2,ACCEPTED_SESSION_RANGE_PROJECTION,63140.0,87.94499999999934,20.711,100464.88421361,3013.9465264083,145.51801384999487,5.084293486596571,0.0007,DIRECTIONAL_BODY,False,63188.19999999999,1709216040000000000,5173,63131.100000000006,1709216100000000000,2024-02-29,14,1.0,-3013.93741561,-0.0009036497320699751,-0.9999969771201246,STOP
SLT-1709235180000000000-000144,SAC,LONG,1709235600000000000,2024-02-29,19,1709235660000000000,61445.0,61507.0,61340.8,61970.8,ACCEPTED_SESSION_RANGE_PROJECTION,61349.2,83.94000000000051,11.583,97450.946798,2923.52840394,252.38746420000314,1.4943909405148301,0.0007,DIRECTIONAL_BODY,False,61507.100000000006,1709235660000000000,5500,61340.700000000004,1709235840000000000,2024-02-29,19,3.0,-2923.47344718,-0.0027053787286346036,-0.9999812019065983,STOP
SLT-1709485260000000000-000261,SAC,LONG,1709485440000000000,2024-03-03,17,1709485500000000000,62950.7,62958.8,62921.2,63403.7,ACCEPTED_SESSION_RANGE_PROJECTION,62929.9,86.70499999999956,22.526,94527.47335082,2835.8242005245997,125.88652065000163,2.829899882533586,0.0007,DIRECTIONAL_BODY,False,62958.899999999994,1709485500000000000,9664,62921.100000000006,1709485740000000000,2024-03-03,17,4.0,-2836.383816,-0.000600391684098489,-1.0001973378587068,STOP
