symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,root_low,root_high,entry_kind,zone_kind,pool,shift,delivery_minutes,flow,event_effort,shift_ts,origin_ts,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1763379960000000000,1763375880000000000,1763372700000000000,15.0,95604.3,95909.20000000001,95269.0,1.0997048212528477,95604.3,95646.3,limit,OB,95841.3,95500.1,69,0.08335633354641914,1.4757211394755911,1763379960000000000,1763379780000000000,-0.15180335641611498,1.4180479360438398,1.0,86
BTCUSDT,1,1763389980000000000,1763387400000000000,1763339400000000000,15.0,94106.4,93511.7,95533.79999999999,2.4002017824113016,94051.1,94106.4,limit,OB,93730.0,94340.0,44,0.11569131565561674,1.1612527594515671,1763389980000000000,1763389860000000000,0.09993977747635541,0.8600812826902118,1.0,87
BTCUSDT,1,1763398380000000000,1763395560000000000,1763388000000000000,60.0,93796.8,93015.9,94665.9,1.112946600076811,93764.9,93796.8,limit,OB,93511.8,94173.8,48,-0.06375085753844645,1.2875588222452616,1763398380000000000,1763398200000000000,0.14922719346511282,1.130314691097545,1.0,89
BTCUSDT,-1,1763420880000000000,1763419380000000000,1763414100000000000,15.0,92205.4,92371.0,91875.5,1.992149758454001,92205.4,92224.6,limit,OB,92227.7,92123.0,26,0.11514859544831124,1.1894285352186953,1763420880000000000,1763420760000000000,0.326287485094094,0.4075955485592445,1.0,92
BTCUSDT,1,1763427060000000000,1763426820000000000,1763413200000000000,60.0,91379.4,91125.9,92335.29999999999,3.770808678500963,91314.2,91379.4,limit,OB,91250.0,91860.1,5,0.017025963401335886,5.509083068076804,1763427060000000000,1763426760000000000,-0.8718750757573627,1.238571485770192,1.0,93
BTCUSDT,1,1763432940000000000,1763432040000000000,1763427600000000000,15.0,91381.4,90699.9,92167.2,1.1530447542186397,91358.4,91381.4,limit,OB,91126.0,91517.6,16,-0.166308163471105,4.457558789800801,1763432940000000000,1763432820000000000,-0.14261554580884894,1.6147355830500074,1.0,94
BTCUSDT,-1,1763468040000000000,1763460240000000000,1763455500000000000,15.0,91207.1,91567.1,90844.0,1.0086111111111273,91207.1,91258.4,limit,FVG,91453.5,91167.3,131,0.11230699862461846,1.2736219664052928,1763468040000000000,1763467920000000000,0.21517820835469226,1.3920459913812442,1.0,103
BTCUSDT,1,1763468280000000000,1763467980000000000,1763465400000000000,15.0,91152.1,91056.0,91564.2,4.288241415192157,91067.9,91152.1,limit,OB,91188.0,91348.9,6,-0.09021664958726772,2.8444186251927945,1763468280000000000,1763468100000000000,0.26245984595039923,0.1224771006358204,0.5,104
BTCUSDT,-1,1763472180000000000,1763469720000000000,1763433900000000000,15.0,91498.2,91859.1,91056.20000000001,1.2247159878081872,91498.2,91518.4,limit,OB,91720.4,91322.1,42,-0.018835691677386412,1.6198759684785429,1763472180000000000,1763472060000000000,-0.2910373999529061,0.9525184792563377,1.0,105
BTCUSDT,1,1763474100000000000,1763472960000000000,1763468100000000000,15.0,91244.9,90887.9,91858.9,1.719887955182073,91221.3,91244.9,limit,OB,91056.1,91388.5,20,-0.008013462695805607,2.4085849636140244,1763474100000000000,1763473860000000000,-0.036326556604497906,1.6862358590858797,1.0,107
BTCUSDT,-1,1763519040000000000,1763518260000000000,1763514000000000000,15.0,92700.0,92836.0,92115.20000000001,4.299999999999915,92700.0,92747.0,limit,OB,92633.3,92300.0,14,0.14896260680405826,1.9445426888037747,1763519040000000000,1763518620000000000,0.6303123240018961,0.5597710301001985,1.0,114
BTCUSDT,-1,1763557500000000000,1763557140000000000,1763551800000000000,15.0,91654.0,91832.90000000001,91269.8,2.1475684740077043,91654.0,91666.0,limit,OB,91784.6,91608.3,7,0.01941357145118905,1.7778015460979537,1763557500000000000,1763557380000000000,-0.8945022885129361,0.7418468144837497,0.75,119
BTCUSDT,-1,1763559360000000000,1763559120000000000,1763557200000000000,15.0,91774.9,91863.3,91269.8,5.713800904976712,91774.9,91841.5,limit,OB,91832.8,91531.7,5,0.24586029613278204,2.9485069601598464,1763559360000000000,1763559120000000000,-0.11035224891622142,1.4297531579653424,1.0,120
BTCUSDT,1,1763561640000000000,1763561400000000000,1763555400000000000,15.0,91211.1,91098.0,91863.09999999999,5.764809902740512,91167.7,91211.1,limit,OB,91166.0,91440.0,5,0.040813428384788075,2.439140976792518,1763561640000000000,1763561400000000000,0.7321144463891915,0.23893532318257932,0.75,121
BTCUSDT,-1,1763565840000000000,1763564880000000000,1763539200000000000,60.0,91702.5,92348.3,91006.5,1.077733044286152,91702.5,91706.4,limit,OB,91987.2,91456.2,17,-0.019701814880092927,1.8064811908101146,1763565840000000000,1763565720000000000,0.025332687632333872,2.8225676665114103,1.0,122
BTCUSDT,-1,1763602080000000000,1763601600000000000,1763568000000000000,60.0,92248.5,92478.1,91777.20000000001,2.052700348431953,92248.5,92265.2,limit,OB,92348.2,92102.1,9,0.11778665603233363,1.4993667641510555,1763602080000000000,1763601840000000000,0.09536651727109557,0.5718064366279789,1.0,124
BTCUSDT,1,1763625000000000000,1763621100000000000,1763601300000000000,15.0,92100.0,91640.09999999999,92819.9,1.5653402913676462,92041.6,92100.0,limit,OB,91777.1,92290.5,66,0.028877058242045006,1.546066713756536,1763625000000000000,1763624640000000000,0.14989547656090196,0.9076209741756436,1.0,125
BTCUSDT,1,1763666520000000000,1763664840000000000,1763660700000000000,15.0,86606.2,86066.5,87712.9,2.0505836575875542,86580.2,86606.2,limit,FVG,86281.9,86649.6,29,-0.002041112460798189,1.5384961969425408,1763666520000000000,1763666400000000000,0.4367537240840367,0.5594450845422797,1.0,133
BTCUSDT,-1,1763701560000000000,1763701320000000000,1763696700000000000,15.0,86024.7,86140.1,85348.0,5.863951473136447,86024.7,86038.0,limit,OB,86109.0,85958.2,5,-0.009757223492876,0.75573307432332,1763701560000000000,1763701440000000000,0.26977665310467946,-0.706364932056083,0.0,138
BTCUSDT,1,1763728680000000000,1763727840000000000,1763712000000000000,60.0,81667.3,80599.9,83332.7,1.5602398351133413,81560.7,81667.3,limit,OB,81111.0,82344.9,15,-0.02483676290064718,4.715647112252443,1763728680000000000,1763728380000000000,-0.6516653919545163,2.760266729989719,1.0,143
BTCUSDT,-1,1763748240000000000,1763744880000000000,1763737200000000000,60.0,84882.5,85548.5,82300.1,3.877477477477469,84882.5,84932.3,limit,OB,85449.2,84524.5,57,0.08427148922724859,1.195008158897652,1763748240000000000,1763747880000000000,0.051526397330078355,1.5306836349750164,1.0,146
