symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,rr,predicted_win,predicted_value,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
XRPUSDT,1,1763401800000000000,2.1698,2.1613,2.2205,89,15.0,1763390700000000000,1763397000000000000,market,5.964705882352815,0.2853869582194168,0.010472468595857987,10000.0,24672.5,2.999998936227403,1763401801000000000,1763402035000000000,9692.63160241,-1.0245613252999997,3.9
SOLUSDT,-1,1763438100000000000,134.42,135.2,131.34,96,15.0,1763433000000000000,1763433900000000000,market,3.9487179487179223,0.2917359445744005,0.002880449036236153,9692.63160241,287.86,2.9999774434220443,1763438101000000000,1763441853000000000,9398.27611925,-1.0122998418950555,62.53333333333333
ETHUSDT,-1,1763444220000000000,3013.32,3027.48,2956.64,98,5.0,1763436900000000000,1763438400000000000,market,4.002824858757092,0.2757720858655342,0.000521702680850826,9398.27611925,14.924,2.999905903459209,1763444221000000000,1763451526000000000,9117.90125419,-0.9944194782903648,121.75
BTCUSDT,-1,1763452260000000000,90383.0,90500.6,89299.8,100,15.0,1763442000000000000,1763443800000000000,market,9.210884353741015,0.2688830643161622,0.006793257022495579,9117.90125419,1.047,2.9988797267429077,1763452261000000000,1763452823000000000,8877.79673079,-0.8777770114208513,9.366666666666667
ETHUSDT,1,1763634060000000000,3007.05,2990.46,3043.67,125,15.0,1763615700000000000,1763622000000000000,market,2.2073538276068785,0.4207617243079775,0.002019718376548272,8877.79673079,12.592,2.999990044934732,1763634061000000000,1763645474000000000,9302.263443290001,1.5937389473669183,190.21666666666667
BTCUSDT,1,1763665800000000000,86304.0,86066.5,87712.9,131,5.0,1763656200000000000,1763660400000000000,market,5.932210526315765,0.2945851737598041,0.008831343386763703,9302.263443290001,0.76,2.999370900910412,1763665801000000000,1763676683000000000,10288.04732263,3.532415830296561,181.36666666666667
ETHUSDT,-1,1763737260000000000,2763.84,2779.57,2717.09,144,15.0,1763728200000000000,1763733600000000000,market,2.9720279720279685,0.3356776774811119,0.0015700595101467221,10288.04732263,15.62,2.9999190544091108,1763737261000000000,1763739289000000000,10978.18528441,2.2360510215965044,33.8
ETHUSDT,-1,1763751480000000000,2775.82,2805.95,2714.86,146,5.0,1763743800000000000,1763746200000000000,market,2.0232326584799143,0.3826317436575509,0.0002469523487499195,10978.18528441,9.604,2.9998641039676066,1763751481000000000,1763756896000000000,11538.41613821,1.7010426868867483,90.25
SOLUSDT,1,1763757540000000000,126.91,125.86,130.31,147,15.0,1763747100000000000,1763749800000000000,market,3.2380952380952523,0.290667623908007,0.00040823784930733506,11538.41613821,276.9,2.9999916430206435,1763757541000000000,1763765469000000000,11186.55427565,-1.0164938247598603,132.13333333333333
SOLUSDT,1,1763766780000000000,125.91,124.99,129.27,149,15.0,1763751600000000000,1763757900000000000,market,3.6521739130434874,0.2847603676722173,0.0017632311651677827,11186.55427565,298.04,2.9999010885671176,1763766781000000000,1763770476000000000,12145.185358319999,2.856497955933494,61.583333333333336
SOLUSDT,-1,1763901060000000000,130.83,131.16,128.92,168,15.0,1763887500000000000,1763891100000000000,market,5.787878787879143,0.2624808164202064,0.0009014595535532348,12145.185358319999,639.07,2.9999578687453123,1763901061000000000,1763901121000000000,11772.651342629999,-1.0224463568596964,1.0
SOLUSDT,-1,1763914200000000000,132.66,133.39,130.34,172,15.0,1763904600000000000,1763907300000000000,market,3.1780821917808573,0.3328646074666308,0.00173625754654708,11772.651342629999,369.0,2.9999974449597224,1763914201000000000,1763934969000000000,11411.52632714,-1.022496986107476,346.1333333333333
