episode_id,symbol,side,family,source_id,source_kind,source_side,source_price,source_lower,source_upper,source_timeframe_minutes,source_semantic_weight,source_confluence_weight,source_confluence_count,source_confluence_kinds,source_confluence_timeframes,source_strength_ratio,source_defense_count,source_accumulated,line_slope_atr_per_hour,interaction_index,interaction_time_ns,confirmation_index,confirmation_time_ns,departure_index,departure_time_ns,touch_index,touch_time_ns,response_index,response_time_ns,location_kind,zone_lower,zone_upper,event_extreme,event_strength,event_outside_close_ratio,event_outside_volume_ratio,event_path_efficiency,event_activity_ratio,event_flow_signed,event_last_bar_flow_signed,event_volume_clock,event_consecutive_outside_closes,event_value_migration_atr,event_vwap,event_penetration_atr,response_kind,response_strength,response_flow_signed,response_activity_ratio,response_body_atr,response_delay_minutes,entry_limit,target_level_id,target_kind,target_structure_price,target_zone_lower,target_zone_upper,target_timeframe_minutes,target_semantic_weight,route_clarity,route_barrier_count,route_strongest_barrier_ratio,route_volume_congestion,structure_multiscale_trend_vote,arbitration_score,outcome,entry_index,entry_time_ns,resolution_index,resolution_time_ns,entry,stop,stop_fill,target,gross_rr,target_net_r,net_r,holding_minutes,mfe_r,mae_r,order_index,order_time_ns,fill_delay_minutes,entry_type,account_skip_reason
CLR2:XRPUSDT:1755508080000000000:ad8eaeae7ec9ba5f,XRPUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,XRPUSDT:ACTIVE_POOL:LOW:1755179100000000000:e76158485dfcc87a,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.963,2.950451,2.981843,10080,4427.554267221984,4427.554267221984,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,10080,7.601098610263543,13,True,0.0,50947,1755508080000000000,50959,1755508800000000000,50959,1755508800000000000,50960,1755508860000000000,50967,1755509280000000000,DIRECTIONAL_FVG,2.9489,2.9506,2.943,11.342166623874508,0.3076923076923077,0.5298032254742396,0.5714285714285467,3.3010093232580897,0.19179663667704025,0.04807693809346699,42.913121202355164,4,0.6009348269716014,2.948948662932571,8.000000000000178,ALIGNED_INITIATIVE,2.089941756679695,0.041876743434238625,1.618905037419838,1.387755102040809,7.0,2.9489,XRPUSDT:ACTIVE_POOL:LOW:1754491800000000000:721f72093b942e7e,ACCUMULATED_EQUAL_HIGH_LOW_POOL,2.9355,2.935029,2.937678,5,12.326912569026582,1.0,0,0.0,0.6964117981183564,-0.3333333333333333,24.09998580930437,STOP_FIRST,50975,1755509760000000000,50976,1755509820000000000,2.9489,2.951,2.9512,2.9377780000000002,5.29619047619043,2.2780753107403995,-1.0,1.0,1.3515432791647137,-0.5955953433606541,50968,1755509340000000000,7.0,DEFENDED_ZONE_LIMIT,PENDING_ORDER_CANCELED_WHEN_OTHER_ROUTE_FILLED
CLR2:XRPUSDT:1755507720000000000:33240d77fd19b3db,XRPUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,XRPUSDT:ACTIVE_POOL:LOW:1755504900000000000:ed94ba2cebeb20c1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2.9574,2.956464,2.9583359999999996,15,13.571436712145667,13.571436712145667,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.5646203402725187,3,True,0.0,50941,1755507720000000000,50943,1755507840000000000,50943,1755507840000000000,50945,1755507960000000000,50947,1755508080000000000,DIRECTIONAL_FVG,2.9571,2.9574,2.9546,3.4096531108138013,1.0,1.0,-0.0,1.8527047231060643,0.16964301089834427,0.5051604157083993,5.558114169318193,3,0.21732059861375072,2.9559206985034656,1.1199999999999006,ALIGNED_INITIATIVE,1.941021114794553,0.3435772225008596,3.8518676454323497,0.799999999999929,2.0,2.9571,XRPUSDT:ACTIVE_POOL:LOW:1754491800000000000:721f72093b942e7e,ACCUMULATED_EQUAL_HIGH_LOW_POOL,2.9355,2.935029,2.937678,5,12.326912569026582,1.0,0,0.0,0.66758308938362,-0.3333333333333333,10.345029481105055,STOP_FIRST,50980,1755510060000000000,50981,1755510120000000000,2.9571,2.9582,2.9584,2.9377780000000002,17.565454545452788,5.3826964772057995,-1.0,1.0,1.5427428781647734,-1.275729687713135,50948,1755508140000000000,32.0,DEFENDED_ZONE_LIMIT,PENDING_ORDER_CANCELED_WHEN_OTHER_ROUTE_FILLED
CLR2:BTCUSDT:1755537420000000000:72c1af49253cc03c,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:DIAGONAL:15:HIGH:1755428400000000000:1755533700000000000:853e1c413569b0a0,DIAGONAL_RESISTANCE,HIGH,116232.04085470086,116198.15285470085,116265.92885470086,15,2.795393343944691,2.795393343944691,1,DIAGONAL_RESISTANCE,15,1.6139210996173556,2,True,-0.9449757449756493,51436,1755537420000000000,51439,1755537600000000000,51439,1755537600000000000,51441,1755537720000000000,51445,1755537960000000000,DIRECTIONAL_FVG,116284.3,116320.1,116387.2,6.067309658744657,1.0,0.6557334901822586,0.9678284182305135,1.9122743357687702,0.2501962993217557,0.45964368442270104,7.649097343075081,4,0.5942215866691243,116306.69245554636,2.2617951209787877,ALIGNED_INITIATIVE,3.1450066418974845,0.04444084373091663,1.424399308468953,1.8959706959706106,4.0,116320.1,BTCUSDT:ACTIVE_POOL:HIGH:1755482400000000000:c2cc9736e8642669,ACCUMULATED_EQUAL_HIGH_LOW_POOL,117358.7,117347.057,117370.343,15,11.71494198919781,1.0,0,0.0,0.6434044222115126,0.0,12.780997720744653,STOP_FIRST,51480,1755540060000000000,51492,1755540780000000000,116320.1,116267.397,116267.197,117346.957,19.483843424469597,7.2979826865052555,-1.0,12.0,0.5956785671839374,-0.5234525409129066,51446,1755538020000000000,34.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:BTCUSDT:1755544560000000000:c9d3a0ebeba18e53,BTCUSDT,LONG,FAILED_AUCTION_REVERSAL,BTCUSDT:ACTIVE_POOL:LOW:1755543600000000000:e69f1b4f9088565e,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,116175.9,116158.59599999999,116193.204,15,11.157743434631383,11.157743434631383,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.286351084240243,3,True,0.0,51555,1755544560000000000,51556,1755544620000000000,51556,1755544620000000000,51561,1755544920000000000,51567,1755545280000000000,TRANSFERRED_BOUNDARY_OB_OVERLAP,116184.7,116193.204,116139.7,5.598692773289574,0.0,0.33370757431773895,1.0,1.9670496132968263,-0.27644742458809435,0.4279492346837792,3.9340992265936525,0,0.2692584338487302,116205.07829693273,0.8208616780044963,ALIGNED_INITIATIVE,1.6715384730635687,0.05421287451459948,0.5092394045723634,0.8027210884355986,6.0,116193.20000000001,BTCUSDT:ACTIVE_POOL:HIGH:1755542700000000000:8821d10b370ff33a,ACCUMULATED_EQUAL_HIGH_LOW_POOL,116761.0,116743.312,116778.688,15,21.40229657761067,0.9678670773016368,1,0.09580892095441751,0.5789698492236186,0.0,12.03124998104464,STOP_FIRST,51573,1755545640000000000,51638,1755549540000000000,116193.20000000001,116138.1565,116137.9565,116743.212,9.992315168909041,3.6867125223996164,-1.0,65.0,2.1588984680465164,-0.7850539883806678,51568,1755545340000000000,5.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:ETHUSDT:1755549480000000000:69596cd77f910106,ETHUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,ETHUSDT:ACTIVE_POOL:LOW:1755549000000000000:7547205e7ece8143,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4340.32,4339.515399999999,4342.8271,5,7.639543030406293,7.639543030406293,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,5,1.5254962867452788,3,True,0.0,51637,1755549480000000000,51638,1755549540000000000,51638,1755549540000000000,51651,1755550320000000000,51652,1755550380000000000,DIRECTIONAL_FVG,4339.23,4343.0,4326.02,8.15199940305237,1.0,1.0,1.0,4.9966839238610605,0.40328745711807706,0.22285773177830262,9.993367847722121,2,1.1652444361648406,4334.236842704173,3.1567328918322466,ALIGNED_INITIATIVE,1.537786530504094,0.3998060521114459,0.4485345454557663,0.9801324503310926,1.0,4339.2300000000005,ETHUSDT:5m:LOW:c10285:s2:1755537600000000000,MINOR_ROUTE_STRUCTURE,4311.16,4310.2852,4312.034799999999,5,1.6710828483030378,1.0,0,0.0,0.5004598242604844,0.0,14.295445888583703,STOP_FIRST,51656,1755550620000000000,51674,1755551700000000000,4339.2300000000005,4343.16275,4343.182750000001,4312.0448,6.912516686797078,3.640483824991807,-1.0,18.0,1.6561341078191871,-1.241385497052546,51653,1755550440000000000,3.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:ETHUSDT:1755549720000000000:e5d435a631c65410,ETHUSDT,LONG,FAILED_AUCTION_REVERSAL,ETHUSDT:15m:LOW:c3433:s4:1755545400000000000,DEFENDED_INTRADAY_SWING,LOW,4325.0,4323.4457,4326.5543,15,3.677390249615422,3.677390249615422,1,DEFENDED_INTRADAY_SWING,15,2.123142250530769,1,False,0.0,51641,1755549720000000000,51642,1755549780000000000,51642,1755549780000000000,51645,1755549960000000000,51648,1755550140000000000,TRANSFERRED_BOUNDARY,4323.4457,4326.5543,4314.45,8.521739130434913,0.0,0.1935805902371274,1.0,5.235626383738152,0.048056325034852986,0.26583276019742963,10.471252767476305,0,-0.20874765582824237,4325.59406078319,2.2934782608696502,ALIGNED_INITIATIVE,1.7025661000722425,0.05708688231157156,1.001000702630461,0.9739130434781852,3.0,4326.55,ETHUSDT:5m:HIGH:c10322:s2:1755548700000000000,MINOR_ROUTE_STRUCTURE,4366.7,4365.9392,4367.4608,5,3.8711415621637295,1.0,0,0.0,0.47392630724969315,0.0,14.05615608505267,TARGET_FIRST,51704,1755553500000000000,51721,1755554520000000000,4326.55,4314.28025,4314.260249999999,4365.9292,3.209454145357335,2.458218181247758,2.458218181247758,17.0,2.5763786681036724,-0.20049385325931315,51649,1755550200000000000,55.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:ETHUSDT:1755556140000000000:15ffaddd88ab3bd3,ETHUSDT,SHORT,FAILED_AUCTION_REVERSAL,ETHUSDT:ACTIVE_POOL:HIGH:1755548100000000000:c9695bd3b96e8a25,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,4383.67,4382.0797,4385.2603,15,20.663070034721365,20.663070034721365,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.9158576496657829,4,True,0.0,51748,1755556140000000000,51749,1755556200000000000,51749,1755556200000000000,51750,1755556260000000000,51750,1755556260000000000,TRANSFERRED_BOUNDARY,4382.0797,4385.2603,4386.21,3.6847956554952734,0.0,0.16702216965474995,1.0,2.1650972284785777,-0.3027837166568779,0.2745016393886701,4.330194456957155,0,-0.35178249616201634,4383.64337319544,0.5714285714286007,ALIGNED_INITIATIVE,1.0954783479422248,0.11475661899542172,0.8647164396877544,0.6924829157175516,0.0,4382.08,ETHUSDT:15m:LOW:c3446:s2:1755555300000000000,DEFENDED_INTRADAY_SWING,4323.48,4322.144399999999,4324.8156,15,4.529351772061258,1.0,0,0.0,0.46273404791799516,0.0,10.361781900611298,TARGET_FIRST,51753,1755556440000000000,51802,1755559380000000000,4382.08,4386.36365,4386.383650000001,4324.8256,13.365797859301226,7.52896754698717,7.52896754698717,49.0,8.751897944107663,-0.12477523800681417,51751,1755556320000000000,2.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:XRPUSDT:1755537360000000000:34f30c68b6d353a3,XRPUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,XRPUSDT:ACTIVE_POOL:HIGH:1755536400000000000:440577ab2735c6e3,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3.0226,3.0197789999999998,3.023632,15,25.323513764286666,25.323513764286666,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.4849718870285438,8,True,0.0,51435,1755537360000000000,51439,1755537600000000000,51439,1755537600000000000,51441,1755537720000000000,51445,1755537960000000000,DIRECTIONAL_FVG,3.0256,3.0281,3.0342,6.879290613623918,0.8,0.7486646082603556,1.0,2.753946095844554,0.10743945810366724,0.13005368937900433,13.769730479222769,4,0.6694340968721028,3.026343208092332,2.8641975308641814,ALIGNED_INITIATIVE,2.2084645725156853,0.05442085553718317,1.0520345123037846,1.5263157894737396,4.0,3.0281000000000002,XRPUSDT:5m:HIGH:c10076:s2:1755474900000000000,MINOR_ROUTE_STRUCTURE,3.0961,3.095827,3.096373,5,2.083873452996767,0.5791835869912298,3,1.0763564605998672,0.4806604804083747,-0.3333333333333333,13.761515887924034,STOP_FIRST,51871,1755563520000000000,51871,1755563520000000000,3.0281000000000002,3.0254,3.0252,3.0957269999999997,25.04703703703341,13.23222867869381,-1.0,0.0,1.873174153384906,-0.7771679998086906,51446,1755538020000000000,425.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:XRPUSDT:1755572820000000000:34d30117d1621a9d,XRPUSDT,LONG,FAILED_AUCTION_REVERSAL,XRPUSDT:ACTIVE_POOL:LOW:1755567900000000000:fc4e6117d4e794a8,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3.0238,3.022936,3.024664,15,48.495835727107405,48.495835727107405,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,4.496481776357042,4,True,0.0,52026,1755572820000000000,52031,1755573120000000000,52032,1755573180000000000,52033,1755573240000000000,52034,1755573300000000000,ORDER_BLOCK,3.0261,3.0284,3.0229,3.6443643777170758,0.0,1.0,0.17857142857141442,1.7416411425188045,-0.17594758428471682,0.07679040069853768,10.449846855112828,0,0.835686150744834,3.0272128427597718,0.2950819672131553,ALIGNED_INITIATIVE,1.472702014683581,0.37397773691137215,0.9285196014986579,0.9354838709677465,1.0,3.0284,XRPUSDT:ACTIVE_POOL:HIGH:1755569700000000000:7e37996d42cff2cc,ACCUMULATED_EQUAL_HIGH_LOW_POOL,3.0796,3.078736,3.080464,15,32.77201865523216,0.9151483753527245,4,0.04717476473460509,0.4812696112318003,0.0,11.303750403531392,STOP_FIRST,52036,1755573420000000000,52043,1755573840000000000,3.0284,3.0227,3.0225,3.078636,8.813333333333265,6.113885589620946,-1.0,7.0,0.7608897670305194,-1.334675492987953,52035,1755573360000000000,1.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
CLR2:ETHUSDT:1755572460000000000:8de36330793fef4a,ETHUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,ETHUSDT:ACTIVE_POOL:LOW:1755571800000000000:21a041e991d3fc10,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4279.87,4278.3559,4281.7668,15,13.428388877075921,13.428388877075921,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.2450657869136792,4,True,0.0,52020,1755572460000000000,52026,1755572820000000000,52026,1755572820000000000,52031,1755573120000000000,52036,1755573420000000000,DIRECTIONAL_FVG,4273.46,4279.0,4256.56,7.746029513648064,0.2857142857142857,0.7254998273189531,0.7871705619094002,3.3703071387002703,0.2544825081535475,0.2740289120632469,23.592149970901893,2,1.387734738972286,4271.299268852325,4.584070796460044,ALIGNED_INITIATIVE,2.0574782829981406,0.021799875041359308,0.8625971358858229,1.3018682399213064,5.0,4273.46,ETHUSDT:15m:LOW:c3406:s4:1755521100000000000,DEFENDED_INTRADAY_SWING,4251.01,4249.561000000001,4252.459,15,2.7511995436166177,1.0,0,0.0,0.5109618294652182,0.0,14.906262768070437,TARGET_FIRST,52038,1755573540000000000,52043,1755573840000000000,4273.46,4279.1729,4279.1929,4252.469,3.6743160216355424,2.2098542171390885,2.2098542171390885,5.0,2.6308587389332825,-0.5775055768390082,52037,1755573480000000000,1.0,DEFENDED_ZONE_LIMIT,ORDER_CREATED_WHILE_GLOBAL_POSITION_OPEN
