source_id,symbol,source_kind,source_side,source_price,source_timeframe_minutes,source_semantic_weight,source_confluence_weight,source_confluence_count,source_confluence_kinds,source_confluence_timeframes,source_accumulated,source_interaction_index,source_interaction_time_ns,line_slope_atr_per_hour,branch,side,confirmation_index,confirmation_time_ns,event_extreme,zone_lower,zone_upper,location_kind,event_strength,event_value_migration_atr,event_last_bar_flow_signed,event_consecutive_outside_closes,reason,counterfactual_mfe_r,counterfactual_mae_r,episode_id,entry_limit,response_index,response_time_ns,stop,target
BTCUSDT:15m:LOW:c3415:s2:1755527400000000000,BTCUSDT,DEFENDED_INTRADAY_SWING,LOW,114769.2,15,9.944000982523548,9.944000982523548,1,DEFENDED_INTRADAY_SWING,15,False,52074,1755575700000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,52077.0,1.75557588e+18,114734.8,114768.5,114778.5,TRANSFERRED_BOUNDARY_OB_OVERLAP,3.654618727470786,-0.24097129226781439,0.26791989673318417,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,11.970149253733402,-9.041044776120712,,,,,,
SOLUSDT:ACTIVE_POOL:LOW:1755603000000000000:96db7a3923987be0,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,181.1,15,16.199831670435543,16.199831670435543,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52663,1755611040000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52666.0,1.75561122e+18,180.63,181.1,181.64,DIRECTIONAL_FVG,5.543837879872733,0.3600955732130605,0.23343054808846153,4.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.808908331676099,-4.573473851660292,,,,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755531900000000000:7e1436b433335703,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,182.75,15,16.011282868996265,16.011282868996265,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,51350,1755532260000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,LONG,51352.0,1.75553238e+18,183.0,182.57,182.66,DIRECTIONAL_FVG_OB_OVERLAP,4.5291062342835415,0.17769296032393941,0.45383074448911553,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.770161290322031,-4.469086021505164,,,,,,
SOLUSDT:ACTIVE_POOL:HIGH:1755546300000000000:b8e6abff456d195f,SOLUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,184.47,15,9.65837479921347,9.65837479921347,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,51725,1755554760000000000,0.0,FAILED_AUCTION_REVERSAL,SHORT,51732.0,1.75555518e+18,184.78,184.43,184.5345,TRANSFERRED_BOUNDARY_OB_OVERLAP,4.916003536693082,-0.7421547514640036,0.6438123631634675,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.684210526315923,-3.6578947368421133,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1755507600000000000:b938a86010ba4257,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4228.0,60,41.515342890662886,41.515342890662886,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,60,True,50968,1755509340000000000,0.0,FAILED_AUCTION_REVERSAL,LONG,50970.0,1.75550946e+18,4224.1,4230.53,4234.2,ORDER_BLOCK,6.3839999999998325,0.24618648149298678,0.5345012213055567,0.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.53974615898502,-0.9398797595190598,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1755475200000000000:14a7c9c8bdbdbaa8,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4417.17,240,264.59167481073854,264.59167481073854,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,240,True,50489,1755480600000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50508.0,1.75548174e+18,4390.01,4401.94,4403.35,DIRECTIONAL_FVG_OB_OVERLAP,5.282041815623764,0.3693792951510315,0.032037253688641965,15.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.427589138514362,-0.2516041198738588,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1755610200000000000:a5595de4f41fff5c,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4282.1,15,20.083235744584066,20.083235744584066,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,True,52663,1755611040000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52666.0,1.75561122e+18,4264.12,4288.76,4289.37,DIRECTIONAL_FVG_OB_OVERLAP,8.870524396889703,1.3786321160926271,0.18850807524262578,4.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.24293819779124,-2.70148252089551,,,,,,
ETHUSDT:ACTIVE_POOL:LOW:1755475200000000000:291c5a9f343e0509,ETHUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,4391.64,1440,233.99044252505774,233.99044252505774,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,1440,True,50517,1755482280000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,50528.0,1.75548294e+18,4373.48,4392.41,4392.59,DIRECTIONAL_FVG,4.231408366285848,0.09972783970570435,0.11614034453435279,6.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.04643663334404,-0.4843598839084273,,,,,,
XRPUSDT:ACTIVE_POOL:LOW:1755572400000000000:bd4288ba1f115650,XRPUSDT,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3.0238,60,91.59545722179564,91.59545722179564,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,60,True,52043,1755573840000000000,0.0,ACCEPTED_AUCTION_CONTINUATION,SHORT,52046.0,1.75557402e+18,3.0177,3.0234,3.0236,DIRECTIONAL_FVG,4.846228573238844,0.2724061840761382,0.6379844569943129,4.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,8.01137313932106,-1.1874895467469369,,,,,,
SOLUSDT:DIAGONAL:60:LOW:1755324000000000000:1755457200000000000:e1a5f4eaa7396730,SOLUSDT,DIAGONAL_SUPPORT,LOW,190.93683783783786,60,7.649260224834151,7.649260224834151,1,DIAGONAL_SUPPORT,60,True,50405,1755475560000000000,0.7314189189189366,ACCEPTED_AUCTION_CONTINUATION,SHORT,50421.0,1.75547652e+18,189.78,190.36,190.52,DIRECTIONAL_FVG,8.329673285616954,0.7860561159713293,0.44767432366483356,3.0,NO_FINAL_FLOW_CONTROL_ON_DEFENDED_RETURN,7.806592613189985,-0.5414977535160629,,,,,,
