plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,move_3,flow_3,efficiency_3,location_3,move_15,flow_15,efficiency_15,location_15,move_60,flow_60,efficiency_60,location_60,move_240,flow_240,efficiency_240,location_240,context_scale,context_age,source_strength,body,wick,activity,range_expansion,impact_residual,flow_change,basis,basis_change,basis_dislocation,market_5,market_15,market_60,relative_15,relative_60,context_15,context_60,channel_location,source_age,source_kind,event_age,penetration,event_flow,event_activity,return_depth,return_activity,origin_overlap,entry_distance,risk_range,risk_bps,cost_r,planned_rr,target_range,is_origin_return,acceptance,control_frame,attack_flow,attack_progress,attack_activity,response_progress,response_flow,response_activity,retracement_flow,retracement_efficiency,liquidity_origin_overlap,m_opponent_markout_1,m_own_markout_1,m_trapped_opponent_1,m_trapped_self_1,m_extreme_flow_1,m_extreme_share_1,m_late_flow_1,m_late_progress_1,m_flow_price_alignment_1,m_opponent_markout_5,m_own_markout_5,m_trapped_opponent_5,m_trapped_self_5,m_extreme_flow_5,m_extreme_share_5,m_late_flow_5,m_late_progress_5,m_flow_price_alignment_5,x_spot_move_15,x_relative_move_15,x_spot_flow_15,x_relative_flow_15,x_oi_change_15,x_spot_move_60,x_relative_move_60,x_spot_flow_60,x_relative_flow_60,x_oi_change_60,x_index_basis,x_premium,x_premium_change,x_spot_activity,x_futures_activity,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
BTCUSDT:15:1755126000000000000:1:1755134220000000000:1,BTCUSDT:15:1755126000000000000:1,BTCUSDT,1,1755134220000000000,1755128340000000000,123432.1,123272.0,123750.29999999999,1.987507807620056,123680.0,1.584962500721156,15:1755126000000000000:1,OBSERVED_OPPOSING_STRUCTURE,123323.9,123464.4,124545.6,123272.1,CONTROL_ACCEPTANCE_RETURN,-1.066802133604275,-0.4595424045572826,-1.0,-0.7650933040614308,-2.288544577089171,-0.36421984174949357,-0.4337987481945113,-0.8854594112399435,-2.056896113792213,-0.015696367550442094,-0.07711352772011265,-0.943959497206694,2.4566929133858744,0.02241796948731423,0.031130508670967224,0.0020165807752632325,0.0,0.0,2.2108506363027383,-0.8289962825278219,0.16994158258098516,1.0816585227378612,0.868672719971949,-0.06368726551198223,-0.5232445586985249,0.0,0.01812950474966435,-0.17190592312690073,-0.36191526073620606,-0.4829046030208602,-1.125997903200986,-1.805639974068311,-0.9308982105912271,1.0,1.0,-1.6843131522651902,1.2809338454620645,0.0,4.59511985013459,1.117094234188447,0.16687688029872605,2.1766614110446554,1.2863909426986975,1.0816585227378612,0.0,-1.259334518669017,0.8133096266192889,12.97069400909535,0.9245625234228271,1.987507807620056,1.616459232918389,1.0,1.0,1.584962500721156,0.16687688029872602,1.2476504953010294,0.41944784023660825,1.677927355854739,0.025471456414182688,0.5402996481195556,-0.6132326759319321,-1.0,0.0,-0.06936604847501938,-0.037043752546406586,0.18563847169993725,0.17740413603914246,-0.7091827104567764,0.2926249994246556,-0.769107325503474,-0.037589821599554166,0.9336502014755592,-0.03163151734689718,0.004951334999854069,0.11605212331325201,0.22186772427603482,-0.28273573159914356,0.32720679424144616,-0.25502050234866946,-0.037439605690719545,0.7743141384335732,-2.297877078822232,0.013498709669225124,-0.3219101857446221,-0.04230965600487174,3.6510556427415963,-1.991871539935303,-0.06165826810583142,-0.11797806360392907,0.1022816960534869,26.8977961899175,0.02544971927642692,-0.047099999999999996,-0.4475,0.5222116353597713,0.5377396392361987,100000.0,0.07543747657717292,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1755134220000000000,1755135300000000000,123451.09999999999,123750.29999999999,8.989,1912.1795417100002,18.0,False,0.0,1912.1795417100002,0.63739318057,0.5
XRPUSDT:5:1755135600000000000:1:1755136980000000000:1,XRPUSDT:5:1755135600000000000:1,XRPUSDT,-1,1755136980000000000,1755136260000000000,3.3228,3.3318000000000003,3.3111,1.299999999999931,3.3304,0.0,5:1755135600000000000:1,OBSERVED_OPPOSING_STRUCTURE,3.3209,3.3256,3.3317,3.311,CONTROL_REJECTION_RETURN,-0.15873015873016544,-0.03837140261177083,-0.19480519480518432,-0.9365079365079432,-0.35978835978836876,0.05408717410168066,-0.08212560386473533,-0.1400966183574821,-2.857142857142884,0.010345387817360724,-0.14531754574811737,-0.6382113821138151,-6.582010582010591,0.024175264317162434,-0.10418760469011733,-0.7581521739130397,0.0,0.0,4.158730158730165,-0.7301587301587235,-0.20634920634921977,0.41532591047336653,0.7235782977624792,-0.09991554188446666,-0.48267227623483056,-0.19589284659504713,-0.2121142518674013,-0.030693705553699543,-0.2773737695996248,0.5947642295436691,-1.6843110882053682,-0.9545525893320379,-1.1728317689375156,-0.0,-0.0,-1.5631094756210029,1.1631508098056809,0.0,2.5649493574615367,0.13756613756614652,-0.02494503965869683,1.7775785014866754,0.6082474226804114,0.4691756815237494,0.0,0.8042328042328132,0.9523809523809926,27.08559046587318,0.44363999999998316,1.299999999999931,1.2380952380952246,1.0,0.0,0.0,-0.024945039658696894,-0.2328042328042552,0.6846627545326005,0.8888888888889359,0.3926046744632526,0.5561512985084714,-0.1354746682384537,-0.45614035087717864,0.0,-0.026031208797915335,-0.04277689346865759,0.0054132677069615165,0.24487333447026793,0.17543987843972664,0.10534939410878577,0.05288288390319038,-0.08467647143144906,0.8035753549651732,-0.03249768555694206,0.026680710363984735,0.10219382285526377,0.25159942497564847,0.14380012486535826,0.19513355833723545,0.2777495749550357,-0.004223936333641103,0.6140230625628037,-0.381204811001799,0.02123225181356343,0.0487594205355169,0.0053277535661639605,5.543070408222661,-2.8584912050815245,-0.010323030495094386,0.0059342763835519945,0.00441111143380871,62.16569853727094,-0.8712387737719318,-0.5229,0.9694,0.6714942203740275,0.7549832856054632,101912.17954171,0.5563600000000168,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1755136980000000000,1755137100000000000,3.3221,3.3325,217903.69999999998,-2991.2294610199997,2.0,False,0.0,-2991.2294610199997,-0.978368327996154,0.5
XRPUSDT:60:1755093600000000000:1:1755139620000000000:1,XRPUSDT:60:1755093600000000000:1,XRPUSDT,-1,1755139620000000000,1755137400000000000,3.3329,3.3394000000000004,3.3111,3.3538461538459226,3.3366,3.584962500721156,60:1755093600000000000:1,OBSERVED_OPPOSING_STRUCTURE,3.3323,3.3346,3.3351,3.3061,CONTROL_REJECTION_RETURN,-0.8584905660377327,-0.15236089567195293,-0.6546762589927915,-0.8058252427184676,-1.4433962264150595,-0.061073805410416494,-0.3549883990719161,-0.8837209302325701,-1.5377358490565571,0.017257938890905985,-0.09872804360993123,-0.6144578313252942,-4.150943396226355,0.03268528293966294,-0.07035497281739708,-0.8199718706047767,0.0,0.0,3.8150684931506893,-0.777777777777796,0.024691358024689327,0.7611611514001075,0.9584588262804299,-0.3332459429923484,-0.47529028409708357,0.4292473784328621,0.4194653027633777,0.5171817417220939,-0.9201644507929617,-1.8610514912866478,-1.8986283558583217,0.4176552648715883,0.36089250680176455,-1.0,-0.0,-0.25665185185185146,2.5776883832389665,0.0,3.6375861597263857,0.2547169811321063,-0.05001869543277787,2.213103778776258,0.8786885245901699,0.7611611514001075,0.0,0.34905660377356196,0.6132075471698389,19.502535329594032,0.615904615384578,3.3538461538459226,2.0566037735848566,1.0,0.0,0.0,-0.05001869543277777,-0.21698113207546538,0.9665315396132712,1.0660377358490694,0.14427713445254337,0.589556794823304,-0.38152932313789145,-1.0,0.0,-0.057960025595057744,0.026860474564140136,0.17353086016890212,0.21958685823848745,-0.3790068925075458,0.5119237027848705,-0.4402051873139,-0.08492859407912948,0.823112698318821,-0.011085862821040847,0.018194178118987027,0.1415437250413401,0.2929361247104147,-0.06591784866666117,0.3035688779756128,-0.3198410294325768,-0.11542979863691316,0.5577513774335049,-1.3902778109874823,-0.056441614672477124,-0.09883198547795342,0.03775818006753714,17.87574530023761,-1.494559837822558,-0.04694856938247921,0.027472961347201744,-0.010215022456295783,38.445565869622556,-2.622068123399046,-2.5943,-1.5622999999999998,0.5122126344716462,0.5781300457509613,98920.95008068999,0.38409538461542203,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1755139620000000000,1755140040000000000,3.3321,3.3401,253626.39999999997,-2875.13423304,7.0,False,0.0,-2875.13423304,-0.9688322614150484,0.5
ETHUSDT:60:1755129600000000000:1:1755145740000000000:1,ETHUSDT:60:1755129600000000000:1,ETHUSDT,1,1755145740000000000,1755145140000000000,4776.69,4769.99,4788.7699999999995,1.8029850746269038,4783.62,3.584962500721156,60:1755129600000000000:1,OBSERVED_OPPOSING_STRUCTURE,4772.49,4778.0,4788.78,4772.02,CONTROL_ACCEPTANCE_RETURN,-0.5581967213115165,-0.5858986235679731,-0.7854671280276389,-0.6936542669585151,0.29508196721307445,0.009339772207945058,0.09221311475407587,-0.28753993610226936,1.5401639344262494,-0.03855347801250048,0.11674433053743126,0.3360790774299769,2.5483606557376803,0.003596786371450864,0.04211196445744681,0.7079004590480749,0.0,0.0,1.743954480796571,-0.8005657708629416,0.19660537482325102,0.8680356607083491,0.9339827708923243,-0.08785558131676974,-0.7184612547759596,0.7484296541759861,0.25109289927716105,0.5861921601492011,-0.4290732883274811,1.1098069626169222,0.08772740932524131,-0.8147249954038478,1.452436525101008,1.0,1.0,0.03473389355739154,1.670846540562744,0.0,2.3978952727983707,0.4229508196721255,0.2887347332639417,2.287496902769389,2.343023255814048,0.8680356607083491,0.0,-0.5680327868852783,0.5491803278688457,14.026449277637482,0.8549265671642023,1.8029850746269038,0.9901639344262383,1.0,1.0,0.0,0.2887347332639419,1.1754098360656031,1.0188654183679988,-0.220491803278659,-0.14821384468777737,1.0817526748235244,-0.7395148251949133,-1.0,0.0,-0.060307227173080985,-0.01787083946956454,0.3568950856228802,0.06693362193759979,-0.7413911645961034,0.49102035318002263,-0.7866148627105646,-0.07703402088076095,0.9459676462996642,-0.025076958908353847,0.00589407626213309,0.2851516764227047,0.1421838461237877,-0.3102042888356908,0.2631507119352847,-0.2768221227066273,-0.009188356599264015,0.575094914985794,0.26244123769415323,0.03275198115142365,0.039222903715719445,-0.029883131507774066,31.757320508454256,1.3756694780469512,0.16753168488085626,0.060543479483382165,-0.0990969574958826,130.35008249596913,1.1934373508193374,0.6671,2.3532,0.7516771058221992,0.7930209866621982,96045.81584765,0.14507343283579766,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1755145740000000000,1755145920000000000,4777.38,4769.3,216.112,-2777.76101408,3.0,False,0.0,-2777.76101408,-0.9640402654243493,0.5
ETHUSDT:5:1755143700000000000:-1:1755147960000000000:1,ETHUSDT:5:1755143700000000000:-1,ETHUSDT,-1,1755147960000000000,1755146100000000000,4770.96,4788.79,4751.6900000000005,1.0807627593942573,4762.18,0.0,5:1755143700000000000:-1,OBSERVED_OPPOSING_STRUCTURE,4760.0,4772.02,4760.0,4751.68,CONTROL_ACCEPTANCE_RETURN,-0.5040169133192497,-0.25425123921739967,-1.0,-0.6121495327102913,-1.5813953488372183,-0.18988128106670402,-0.647955647955649,-0.839613526570061,0.17251585623678606,0.08735896509795707,0.015375339161892654,-0.03935309973045986,-4.948837209302439,0.025245608530890345,-0.09114129080488481,-0.5532154945468268,0.0,0.0,1.5183737294762172,-0.41822429906543696,0.19392523364485434,0.5911190387050858,0.7581977298854071,-0.0501107251020884,0.0035020688492549135,-0.4401823612631972,-0.8360942553953254,-0.17141129885054857,-1.1401314614936866,-0.6975975148432959,0.6060005121516833,-0.8837978339939224,-0.4334846559148972,-1.0,-1.0,0.3679999999999771,2.1972245773362196,0.0,3.4657359027997265,0.8879492600422969,0.37244819325457873,2.6614459084543562,1.836190476190452,0.5879284414770949,1.0,-0.7424947145877278,1.5078224101480087,37.37193353119692,0.3216965787997769,1.0807627593942573,1.6295983086680612,1.0,1.0,1.584962500721156,0.3724481932545788,1.758139534883745,0.635411253241797,0.3822410147991202,0.07381101547534957,0.5176497407499882,-0.26493875581746007,-0.7345245692405976,1.0,-0.03595845506011125,0.002810198442176724,0.30308816831270013,0.15008302643428334,-0.29289071285523055,0.3194412093772411,0.29918807128631986,0.013530201639170224,0.728129202141702,-0.030742960195104016,0.0008972666889505219,0.1473328327159694,0.2597842648882858,-0.315027874661894,0.3179867101100492,-0.11642250535039692,-0.03996128369905318,0.6372880799327801,-1.527922484875792,-0.05658016245992368,-0.04995316487203187,-0.139928116194673,7.430010533191478,0.2021029434486939,-0.029623959461384623,0.05489133954612805,0.03246762555182895,31.58754492901039,-1.8736027503885033,-1.4007,-1.6165,0.4915105886441301,0.47970356362736566,93268.05483357,0.678303421200223,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1755147960000000000,1755148380000000000,4770.26,4751.69,114.264,1740.75856445,7.0,False,0.0,1740.75856445,0.6221346160291275,0.5
XRPUSDT:5:1755123900000000000:-1:1755153600000000000:1,XRPUSDT:5:1755123900000000000:-1,XRPUSDT,-1,1755153600000000000,1755151380000000000,3.2677,3.2827,3.2509,1.119999999999986,3.2597,0.0,5:1755123900000000000:-1,OBSERVED_OPPOSING_STRUCTURE,3.2525,3.2717,3.2525,3.2347,CONTROL_ACCEPTANCE_RETURN,-0.7487684729064014,-0.20442181674712673,-1.0,-0.5200000000000427,-2.8472906403940743,-0.1822249332020031,-0.762532981530355,-0.8461538461538616,1.9507389162561417,0.05299755187666224,0.10855263157894739,-0.24763705103970102,5.733990147783174,0.061930308576177755,0.09194312796208545,0.4581280788177349,0.0,0.0,2.0927152317880995,-0.24590163934427184,0.03278688524582526,1.0735160881946302,0.7615576408481413,0.06693771454534111,-0.22915044799223688,-2.4614191254856976,-2.515425588495157,-1.321958599974144,-0.7863742964352602,-2.8917513713053005,1.0908536585365542,0.044460730911226154,0.8598852577195875,-1.0,-1.0,7.881278538812715,4.528289141652134,0.0,3.6375861597263857,2.4630541871920846,0.16971037156903124,3.0474782006889223,1.3200000000000014,0.6898444330825354,1.0,-0.7881773399014705,1.4778325123152682,45.903846742357395,0.2620159999999978,1.119999999999986,1.6551724137930792,1.0,1.0,1.584962500721156,0.16971037156903124,2.561576354679801,0.8490723663437475,0.3842364532019461,0.062194772036768126,1.0449370663505944,-0.17121949861497418,-0.7375565610859818,1.0,0.03671287929899424,0.05733291702484288,0.42347105209822455,0.1823705610697966,-0.4135156253067537,0.377638455917591,-0.404990592314455,-0.11827003338110627,0.12756155360155247,-0.016769362771656735,-0.005792126040115822,0.18456290326716976,0.32875697213583155,-0.2952916877418101,0.26811776423721445,-0.2016462149739096,-0.05520995452594875,0.3912967903349137,-2.8801027666171994,0.0201464728960141,-0.3487738295961297,0.16654889639412668,87.75922180873863,1.7882921421271523,0.15656047635141318,-0.14841216033057467,0.20140971220723689,-6.797914210956435,-2.110400299200066,-1.732,-2.2766,0.7393934648376159,0.8388820148595706,95008.81339802,0.7379840000000022,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1755153600000000000,1755155400000000000,3.2671,3.2509,144449.7,2010.2010266099999,30.0,False,0.0,2010.2010266099999,0.7052682639692501,0.5
XRPUSDT:15:1755153000000000000:-1:1755162900000000000:1,XRPUSDT:15:1755153000000000000:-1,XRPUSDT,-1,1755162900000000000,1755158820000000000,3.238,3.2458,3.2227,1.9615384615384375,3.2347,1.584962500721156,15:1755153000000000000:-1,OBSERVED_OPPOSING_STRUCTURE,3.2369,3.2406,3.2457,3.2226,CONTROL_ACCEPTANCE_RETURN,-0.6145833333333459,-0.4086710529239583,-1.0,-0.9012345679012428,-0.5104166666666888,-0.10273552956786325,-0.12405063291139183,-0.9477124183006589,-0.11458333333334586,0.00262526223240437,-0.007407407407408072,-0.33333333333334614,5.583333333333418,0.06354856216935593,0.0868438107582628,0.5958005249343814,0.0,0.0,2.96594427244579,-0.8888888888889437,0.06666666666671273,0.7303546444510431,0.711803727776488,0.10858334387932211,-0.4881901246972223,0.06473089661507281,-2.0122679618972406,-0.3255003737725314,-0.7555785707560323,-1.4233657390713743,-0.5295734593121189,0.9129490724046855,0.414990125978773,1.0,-1.0,-1.412474849094592,2.0104486701928845,0.0,4.23410650459726,1.260416666666712,0.13916130672328547,2.8688212164612024,1.272727272727256,0.7303546444510431,0.0,-0.34374999999999134,0.8125000000000173,24.088943792464573,0.49875384615384427,1.9615384615384375,1.5937500000000144,1.0,1.0,1.584962500721156,0.1391613067232854,0.6979166666666715,0.745620718545624,0.9479166666666946,0.12302031194098542,0.7971598325827723,-0.6959507397281199,-1.0,0.0,-0.03695123319507778,-0.022891339572590427,0.06320427509564515,0.12734343845606438,-0.5504945931412198,0.18531371262687032,-0.28072888368788396,0.010416344975999607,0.9789546531738282,-0.020648824355560216,-0.0014506464781876452,0.0542213912987475,0.2999090007667989,-0.3379310966795798,0.19012755793835323,-0.4068391804207573,-0.037571098126346326,0.725466556234508,-0.45864502194468076,-0.0521582364016572,0.357698485320978,-0.46043401488884095,8.692658644946505,-0.16670785791816137,0.05210505728715975,0.026012719237328057,-0.023387457004923715,43.9220341477764,-0.73149266421213,-0.2763,-1.1797000000000002,0.6167207906901233,0.4850964722433244,97019.01442463,0.5012461538461557,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1755162900000000000,1755168000000000000,3.2373,3.2227,226274.0,2791.49934594,85.0,False,0.0,2791.49934594,0.95909012011544,0.5
ETHUSDT:15:1755171000000000000:1:1755173520000000000:1,ETHUSDT:15:1755171000000000000:1,ETHUSDT,1,1755173520000000000,1755169860000000000,4724.0,4711.26,4736.98,1.0188383045525735,4723.0,1.584962500721156,15:1755171000000000000:1,OBSERVED_OPPOSING_STRUCTURE,4719.37,4726.97,4736.99,4726.97,CONTROL_ACCEPTANCE_RETURN,-0.6473477406679722,-0.20132095447286014,-0.5487094088259805,-0.821917808219211,0.5098231827111446,0.035701958091852164,0.11755379388447419,-0.19503219871204347,0.9233791748525901,-0.05794510879949671,0.05403541043917734,0.4163109413615045,-1.5707269155205623,-0.07182876903457218,-0.02223334584741135,0.12244897959183665,1.584962500721156,1.7578579175523736,1.9660850331776603,-0.7705735660847823,0.2244389027430392,0.5200101360465097,0.6066084871930981,-0.0434787392434699,-0.22103443102684087,0.8336056821889315,0.09837021797576284,0.6551159657425634,-0.09150326797384692,0.6993560358000297,1.2067876266419928,-0.18953285308888512,-0.28340845178940266,-1.0,1.0,1.637810945273643,1.1420974006078486,0.0,2.3978952727983707,1.3742632612965995,0.1379279278400729,1.4493066368455578,0.9285203716940661,0.5207920933742394,1.0,0.09823182711198147,1.2514734774066225,26.968670618119774,0.44436075353218973,1.0188383045525735,1.2750491159134767,1.0,1.0,0.0,0.13792792784007288,0.5108055009822858,0.5020060033811748,0.9135559921414456,0.05085927619316233,0.8286542020059787,-0.329390227293487,-1.0,1.0,-0.010101106634727854,0.010653813718247853,0.12618171784230667,0.2596042270842539,-0.48781029082167776,0.21573735502061828,-0.5043724269150404,-0.037325091860788195,0.5712640600810888,-0.03684023416154296,0.0016030772681644113,0.23577035440574162,0.15584764828067038,-0.35297945770906347,0.2298700775173447,-0.033842562715916846,-0.0049156815030639844,0.7968544088587152,0.5111702104680694,-0.0010667650648188596,0.06131206134059526,-0.025610103248742723,0.5646297484851459,0.896886482223358,0.027412601147191604,-0.016794160931297368,-0.04115094786819929,15.919445824952305,1.3185284011907328,0.9443,-0.7498999999999999,0.6248705354543153,0.6324475790353812,99810.51377057,0.5556392464678103,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1755173520000000000,1755173940000000000,4724.66,4710.61,155.609,-2920.41291472,7.0,False,0.0,-2920.41291472,-0.9753190668981104,0.5
XRPUSDT:15:1755001800000000000:-1:1755175260000000000:1,XRPUSDT:15:1755001800000000000:-1,XRPUSDT,-1,1755175260000000000,1755174840000000000,3.1125,3.2302000000000004,2.9811,1.1163976210705104,3.1412,1.584962500721156,15:1755001800000000000:-1,OBSERVED_OPPOSING_STRUCTURE,3.1122,3.2245,3.1122,2.981,CONTROL_ACCEPTANCE_RETURN,-1.0657894736841735,0.04447808528445956,-0.17802197802197442,-0.8201058201058156,15.157894736842028,0.19979222507077657,0.4407039020658009,-0.055800883179444316,13.644736842105218,0.1836172716844514,0.29451860266969815,-0.03706624605678166,15.355263157894665,0.1532362586405783,0.16346827286734827,0.004542013626042007,0.0,0.0,4.758893280632479,-0.7116402116402127,-0.10846560846560287,1.381270085472093,1.547399389883579,-3.3395735584180284,-0.1452292361067808,2.3303162737842165,-9.446300839885957,0.2404845856039021,-4.6160252515179785,11.717032593685715,10.360573439026412,3.4408621431563127,3.2841634030788054,1.0,-1.0,4.141859203818191,5.2640709278194455,0.0,2.0794415416798357,21.078947368420927,0.21315898977957676,3.9515379093346183,0.820848938826466,1.381270085472093,1.0,3.776315789473681,15.48684210526313,100.0,0.0323332200509769,1.1163976210705104,17.289473684210375,1.0,1.0,0.0,0.21315898977957676,12.526315789473623,2.4161869582989914,6.078947368420985,0.21816595317891455,2.6824771889881935,-0.07157481964647924,-1.0,1.0,-1.1696549768853512,-1.3931371740628224,0.10756892693196117,0.40776969844632954,-0.221178611405969,0.43237447425981335,-0.15729536838074784,0.745994321062864,0.6694248989357123,-0.6015514180590401,-0.5610060063817087,0.2245934704620091,0.2596943562227673,-0.057110374175038794,0.30337760492149296,-0.02139356626801228,1.3771644195169161,0.5449743579561528,55.675415971347604,0.6092621886878811,0.1194796341208478,0.08031259094992882,-577.2313273034158,49.860063521691835,0.8969412328785852,0.09855698892575812,0.08506028275869332,-540.3127878847869,6.936646800479451,1.0349,-1.0538,3.037072849622305,3.050694153231199,96890.10085584999,0.9676667799490231,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1755175260000000000,1755388800000000000,3.1122,3.1045,23850.3,109.51223,3559.0,True,29.455802766680826,138.96803276668084,0.04780950497493136,0.5
