plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,context_15,context_60,location_60,sweep_15,sweep_60,impulse_range,impulse_efficiency,impulse_activity,impulse_flow,opponent_reclaimed,footprint_gap,footprint_body,break_strength,source_age,pullback_depth,pullback_efficiency,pullback_activity,pullback_flow,pullback_duration,response_range,response_flow,response_activity,innovation_fast,innovation_slow,impact_slope,risk_range,cost_r,planned_rr,obstacle_distance,risk_bps,participation,market_15,market_60,relative_15,relative_60,market_dispersion,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
SOLUSDT:CONTROL:SOLUSDT:5m:PIVOT:HIGH:6684:s2:1724478180000000000,SOLUSDT:CONTROL:SOLUSDT:5m:PIVOT:HIGH:6684:s2,SOLUSDT,1,1724478180000000000,1724475900000000000,154.085,153.833,155.345,4.999999999999774,154.421,5,SOLUSDT:5m:PIVOT:HIGH:6684:s2,FIRST_IMPULSE_EXTREME,153.916,154.11,155.355,153.843,CONTROL_TRANSFER_FIRST_RETURN,0.0,0.0,0.9812974868498057,0.0,0.0,2.8701809598740464,0.4173531026908247,3.152337084087952,0.17759864603782508,2.7691315803941805,0.0,0.7326514555468684,1.284028324154207,1.0,0.8344283837056432,-0.23527232308262247,1.3900846050182172,0.04412005207835541,4.6,0.32470042520300285,0.29370919266245205,1.3104430956371755,-0.2836147198444245,-0.024731303799986375,1.5352171335039213,0.9516915814319681,0.7337380952380673,4.999999999999774,4.758457907159626,16.35460946880031,1.1459383071148932,-0.3795645791211706,-0.020180928174621908,-1.1756902654225927,0.4046577596291065,0.663745037315764,10000.0,0.008628155144228957,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724478180000000000,1724489940000000000,154.11,155.34,644.1,722.6009756999999,196.0,False,-2.036606885347744,720.5643688146522,2.401881229382174,0.38189510397226584
ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7282:s2:1724656740000000000,ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7282:s2,ETHUSDT,-1,1724656740000000000,1724655300000000000,2739.62,2741.44,2727.09,6.884615384614626,2732.34,5,ETHUSDT:5m:PIVOT:LOW:7282:s2,FIRST_IMPULSE_EXTREME,2738.78,2741.43,2741.43,2727.08,CONTROL_TRANSFER_FIRST_RETURN,-0.0,1.0,0.6739583333333266,0.0,0.0,2.9771144278606343,0.44808306709265255,2.273100315761832,0.212975903093409,2.1782191928052166,0.0,0.7031509121060373,0.5651741293532611,1.0,0.8732590529247808,-0.6011505273250185,1.137721102183782,-0.187006917080281,1.8,0.7052825378842871,0.22847467680590747,0.7541892522258371,-0.16302720471871673,-0.056787594043794326,1.3391661393766383,0.48291873963519955,1.8063428571426945,6.884615384614626,3.3247097844111995,6.643257094050138,0.8435229857567705,-0.5954741908614278,0.1332136449120592,0.08120631173492521,-0.3594941111671375,0.1868399995454755,10720.56436881,0.002244783603044139,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724656740000000000,1724660280000000000,2739.25,2741.85,57.632,-307.7865776,59.0,False,8.93960876494781,-298.84696883505217,-0.9292016059170234,0.37784040005244607
BTCUSDT:CONTROL:BTCUSDT:5m:PIVOT:LOW:7304:s2:1724665320000000000,BTCUSDT:CONTROL:BTCUSDT:5m:PIVOT:LOW:7304:s2,BTCUSDT,-1,1724665320000000000,1724664300000000000,63617.4,63775.299999999996,63074.6,3.437618746041944,63630.0,5,BTCUSDT:5m:PIVOT:LOW:7304:s2,FIRST_IMPULSE_EXTREME,63664.8,63730.1,63775.2,63074.5,CONTROL_TRANSFER_FIRST_RETURN,-0.0,1.0,0.5378323108384582,0.0,0.0,1.8955957736164841,0.5484925535779237,2.5389847376081165,0.2875030601228865,1.3749197436027132,0.0,0.8197510199811134,0.638978972695906,7.0,0.7746860730593677,-0.3602521566025225,3.0139025175762586,0.08129458215477688,2.4,1.1034761519805731,0.3931521223027908,0.8972504404474234,-0.06471707966099774,-0.059068143286342675,1.693884364032415,1.982215712940608,0.4834761241292135,3.437618746041944,6.814101893503531,24.820253578422598,0.8911940296336139,-0.16037409609772732,0.2911174212709087,0.09884450732242842,-0.09707838633434329,0.1887852181582812,10421.71739997,0.004067697568803354,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724665320000000000,1724666280000000000,63610.4,63783.00000000001,1.292,-305.2953364,16.0,False,0.0,-305.2953364,-0.9764716143005977,0.37969866240076683
ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7360:s2:1724681760000000000,ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7360:s2,ETHUSDT,-1,1724681760000000000,1724679000000000000,2706.25,2736.28,2631.0200000000004,2.5051615051614737,2726.31,5,ETHUSDT:5m:PIVOT:LOW:7360:s2,UNTAKEN_60M_PIVOT,2729.08,2733.77,2736.27,2701.0,CONTROL_TRANSFER_FIRST_RETURN,1.0,1.0,0.16580844490217517,0.0,0.0,0.8274480340596295,0.1719400499583727,1.2619000378266518,-0.1148760388290271,1.400117962882896,0.0,0.9396443776609213,0.27247683446033216,1.0,-0.3073574227252881,0.04940517844646596,1.5377062147949812,0.06010285679589761,7.2,2.1843771991555894,0.38421488247937324,11.859463422963131,0.22399401426798105,0.10354483251757571,1.2890586727618862,6.016528925619899,0.10814185814185741,2.5051615051614737,15.072376659153493,110.96535796766817,1.9575491807592253,1.1735252340572273,0.7681950438758502,-0.057109540991902685,0.11432249297417074,0.12529250052039767,10116.42206357,0.005314846838682052,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724681760000000000,1724756520000000000,2705.95,2631.02,9.027,659.42976116,1246.0,False,5.075008510598764,664.5047696705988,2.1895249970623856,0.3805080648759255
ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7790:s2:1724810760000000000,ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7790:s2,ETHUSDT,-1,1724810760000000000,1724808000000000000,2440.67,2449.69,2416.57,2.671840354767179,2432.77,5,ETHUSDT:5m:PIVOT:LOW:7790:s2,FIRST_IMPULSE_EXTREME,2437.0,2444.67,2449.68,2416.56,CONTROL_TRANSFER_FIRST_RETURN,-0.0,1.0,0.45878594249202875,0.0,0.0,2.0056744905855295,0.40940106141017385,1.1642337973684653,0.054919256756237975,1.4568446277327807,0.0,0.9496002063451171,0.5323703894764195,1.0,0.7277392091759749,-0.1584516298633023,1.01984586435684,-0.03391015404624696,7.2,0.23321045039264476,0.30064009464832137,0.4178796192659841,-0.06923289135940092,-0.010926027010272387,1.7775908380086318,1.1167397472272305,0.3247011086474508,2.671840354767179,2.9837503224142137,36.95706506819841,0.7046599640699931,-0.7704192136513072,-0.4353704932504718,0.21593709791926508,0.37228904588173994,0.17576030110951057,10780.92683324,0.001534651103915815,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724810760000000000,1724810820000000000,2440.37,2449.99,26.269,-316.94021343000003,1.0,False,0.0,-316.94021343000003,-0.9799411446172474,0.38136078152033837
ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:HIGH:7815:s2:1724818740000000000,ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:HIGH:7815:s2,ETHUSDT,1,1724818740000000000,1724815800000000000,2479.8,2463.2799999999997,2583.99,6.306900726392061,2474.35,5,ETHUSDT:5m:PIVOT:HIGH:7815:s2,UNTAKEN_5M_PIVOT,2472.4,2473.41,2481.17,2463.29,CONTROL_TRANSFER_FIRST_RETURN,0.0,-1.0,0.8347107438016683,0.0,0.0,0.8466834433312586,0.25852470424495105,0.5849078798103743,0.04762888777033803,0.8083211456395064,0.0,0.11509425003558409,0.1880252599591769,5.0,-0.1377410468319518,0.028789405498776535,0.9071480806219673,-0.09177402064988881,4.8,1.423662884927195,0.629977039312695,1.7444564581055264,0.1312047708591482,0.03642793341427911,1.6010051325921726,1.8825316936518262,0.1801307506053221,6.306900726392061,11.87294050614878,66.61827566739429,1.0019529122820372,0.3479810007677529,0.24774418132032655,0.3614930195064729,0.07958521843622635,0.26364683610934575,10463.98661981,0.03626712943743436,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724818740000000000,1724824380000000000,2480.11,2463.0,15.815,-309.68229233,94.0,False,0.0,-309.68229233,-0.9865019378105916,0.3821116791131394
ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7852:s2:1724829060000000000,ETHUSDT:CONTROL:ETHUSDT:5m:PIVOT:LOW:7852:s2,ETHUSDT,-1,1724829060000000000,1724826300000000000,2459.85,2468.82,2437.4300000000003,2.4994425863989944,2463.75,5,ETHUSDT:5m:PIVOT:LOW:7852:s2,UNTAKEN_5M_PIVOT,2465.55,2467.02,2468.81,2455.8,CONTROL_TRANSFER_FIRST_RETURN,1.0,-0.0,0.4334811529933329,0.0,0.0,1.2318237454100323,0.2721765469493695,0.5336481694699062,0.1930340710388858,0.8184391218506727,0.0,0.2878824969399859,0.2408812729498205,2.0,-0.04181184668990964,0.007056056448454086,1.06813119619074,0.06412940775221859,5.2,0.48072868347825715,0.05639245973579576,0.7488221157467104,0.05835505296245917,0.01468200780458172,1.4223478505665432,1.7566707466340807,0.3290769230769137,2.4994425863989944,4.39069767441854,36.46563814866864,0.8135960835785677,0.11937947656325494,0.06788577588401684,0.34820165635017325,0.2989094789131381,0.1671956394786769,10154.30432748,9.565962074330539e-05,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724829060000000000,1724831520000000000,2459.53,2437.43,24.72,503.86155528,41.0,False,0.0,503.86155528,1.6540163298580322,0.38249082074882057
XRPUSDT:CONTROL:XRPUSDT:5m:PIVOT:HIGH:7895:s2:1724843520000000000,XRPUSDT:CONTROL:XRPUSDT:5m:PIVOT:HIGH:7895:s2,XRPUSDT,1,1724843520000000000,1724839500000000000,0.5802,0.5758,0.5926,2.8181818181817655,0.5788,5,XRPUSDT:5m:PIVOT:HIGH:7895:s2,UNTAKEN_5M_PIVOT,0.5769,0.5789,0.5803,0.5759,CONTROL_TRANSFER_FIRST_RETURN,0.0,-1.0,0.8518518518518672,0.0,1.8232558139534971,0.5777777777778124,0.07222222222222655,0.7296215008147569,0.003068533947247032,0.9663722166488331,0.0,0.8888888888888888,0.17777777777780737,7.0,-0.1891891891891965,0.04929577464788936,0.7041649475767923,-0.11358747452995666,5.4,1.6260162601625816,0.3798658889425187,1.3362942106696931,0.18195875491827973,0.05498076869305447,1.6554512364717127,1.9555555555555852,0.1582363636363611,2.8181818181817655,5.5111111111110915,75.83591864874302,0.7610167573818071,1.2008546403930127,0.45517581925445344,0.04403286374510751,0.15030405697203825,0.22385370071198804,10658.16588276,0.006432507954030192,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724843520000000000,1724852460000000000,0.5803,0.5757,61069.6,-316.2183888,149.0,False,0.0,-316.2183888,-0.9889706236464056,0.3806011841782439
XRPUSDT:CONTROL:XRPUSDT:5m:PIVOT:LOW:7963:s2:1724863800000000000,XRPUSDT:CONTROL:XRPUSDT:5m:PIVOT:LOW:7963:s2,XRPUSDT,-1,1724863800000000000,1724860800000000000,0.5655,0.5695,0.5555,2.5,0.5631,5,XRPUSDT:5m:PIVOT:LOW:7963:s2,FIRST_IMPULSE_EXTREME,0.565,0.5674,0.5694,0.5554,CONTROL_TRANSFER_FIRST_RETURN,-0.0,-1.0,0.8888888888889008,1.7931034482758514,0.0,1.9967373572593876,0.4553571428571428,1.1827421692693199,0.05479522593293994,1.5036575050238816,1.0,0.3132137030995211,0.195758564437217,5.0,0.7163120567375885,-0.17844522968197987,1.3134969821724036,-0.003393617324353034,7.0,0.5714285714285888,0.22960400236200224,0.14764164551718384,-0.040972904054721225,0.011522264045010687,1.5474017804520661,1.5660685154975622,0.16964999999999983,2.5,3.9151712887439056,70.73386383731217,0.44500975197226483,-0.8749377613105476,0.002818858425140852,0.06914927988484088,-0.002818858425140852,0.22790021082986386,10341.947493959999,0.003345024814639261,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724863800000000000,1724864280000000000,0.5654,0.5696,64646.0,-308.199805,8.0,False,0.0,-308.199805,-0.9933648221800836,0.3804616307570411
XRPUSDT:CONTROL:XRPUSDT:5m:PIVOT:HIGH:7994:s2:1724872320000000000,XRPUSDT:CONTROL:XRPUSDT:5m:PIVOT:HIGH:7994:s2,XRPUSDT,1,1724872320000000000,1724869200000000000,0.5727,0.5678,0.5842,2.34693877551021,0.5698,5,XRPUSDT:5m:PIVOT:HIGH:7994:s2,UNTAKEN_5M_PIVOT,0.5693,0.5697,0.5768,0.5679,CONTROL_TRANSFER_FIRST_RETURN,0.0,1.0,0.46666666666668877,1.1560693641618593,0.0,0.49523809523808515,0.21666666666666112,0.290262548030888,-0.054570355547760595,0.7313889743845097,0.0,0.15238095238093627,0.2285714285714467,2.0,-0.13953488372091222,0.020270270270268065,1.2002458047667175,-0.04894496281157216,7.4,0.6818181818181078,0.21291445764318256,0.6354031091495788,-0.06360435540673924,0.09838360929782691,1.3885637113272273,1.8666666666666807,0.14025306122448933,2.34693877551021,4.380952380952425,85.55962982364267,0.737667958142696,-0.23777119073907005,0.7155515011531338,0.031212078941335403,-0.03208385182240747,0.09782535224203598,10033.74768896,0.0025561647033769744,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724872320000000000,1724883720000000000,0.5728,0.5677,52816.700000000004,-299.48389318,190.0,False,0.0,-299.48389318,-0.9949220120730435,0.3781333962427806
