run_id,scenario_id,branch,side,signal_observed_ns,opened_ns,closed_ns,entry_reference,stop_price,target_price,planned_loss,gross_realized_pnl,native_net_realized_pnl,native_commissions,extra_composite_cost,net_pnl,realized_r,nav_before,nav_after,net_reward_to_risk_at_signal,reason_code
baseline:long-btc,resolution-ccc94e128ccfd15f-down-1642952280000000000,REVERSAL,BUY,1642952460000000000,1642952460000000000,1642952580000000000,35218.5,35155.07282,35471.015,2233.04062236184,-1218.2944000000002,-1461.7082375700002,243.41383757,770.8104856300001,-2232.5187232000003,-0.999766283176126,74437.25245685,72204.73373364999,1.71674035457777,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-47dab79b66870627-down-1643000640000000000,REVERSAL,BUY,1643000820000000000,1643000820000000000,1643002500000000000,35025.01,34958.49468,35535.56,2166.09166877902,-1210.433,-1439.72414006,229.29114006,726.08861019,-2165.81275025,-0.9998712341988846,72204.73373364999,70038.92098339999,3.8455313774141118,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-3e7d1ff8d2d8a9b8-up-1643046720000000000,REVERSAL,SELL,1643047140000000000,1643047140000000000,1643047740000000000,35326.25,35517.49294,34952.975,2101.14267446859,-1644.7974,-1754.43794387,109.64054387,347.19505558000003,-2101.63299945,-1.0002333611074432,70038.92098339999,67937.28798395,1.3117733036785053,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-3bef9825549b4c12-down-1643086680000000000,REVERSAL,BUY,1643086980000000000,1643086980000000000,1643088300000000000,35961.53,35869.05136,36732.325,2038.09204765452,-1286.7624,-1466.81872841,180.05632841,570.1783732900001,-2036.9971017,-0.9994627593215036,67937.28798395,65900.29088224999,4.894204956509033,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-0583123653278232-down-1643088300000000000,REVERSAL,BUY,1643088660000000000,1643088660000000000,1643094420000000000,35913.16,35804.0747,36177.979999999996,1976.95521749145,-1324.2558000000001,-1480.94662573,156.69082573,496.18761481999996,-1977.13424055,-1.000090554938709,65900.29088224999,63923.156641699985,1.2939612614269427,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-c21e996ba152807f-up-1643130900000000000,REVERSAL,SELL,1643131020000000000,1643131020000000000,1643131260000000000,37084.42,37256.18468,36687.115000000005,1917.53968522228,-1447.9304000000002,-1560.7080638300001,112.77766383,357.12926877000007,-1917.8373326,-1.000155223581558,63923.156641699985,62005.319309099985,1.5030597225584086,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-e02dd572cdb8b638-down-1643249100000000000,REVERSAL,BUY,1643249520000000000,1643249520000000000,1643250300000000000,35883.85,35734.5379,36395.95,1860.12321265485,-1367.8865999999998,-1485.99663563,118.11003563,374.01511282,-1860.01174845,-0.9999400769776476,62005.319309099985,60145.307560649984,2.2553288544324537,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-bc201dfdabd85cc4-down-1644504420000000000,REVERSAL,BUY,1644504660000000000,1644504660000000000,1644505200000000000,43715.1,43493.71408,44276.525,1804.21180975296,3531.7673999999997,3426.55660276,105.21079724,309.9555694600001,3116.6010332999995,1.7274030778718474,60145.307560649984,63261.908593949986,1.727490183522588,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-975dceccd70d1255-up-1644507780000000000,REVERSAL,SELL,1644507900000000000,1644507900000000000,1644508500000000000,45396.59,45717.8728,44822.365000000005,1897.8324300241,2796.9282000000003,2713.45938697,83.46881303,246.12374872000004,2467.33563825,1.300080870795673,63261.908593949986,65729.24423219998,1.3001451227255447,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-6a14feb87d9f58db-down-1644523320000000000,REVERSAL,BUY,1644523500000000000,1644523500000000000,1644524520000000000,44362.02,44196.827059999996,44779.08,1971.713596986369,-1406.3476,-1542.04979159,135.70219158999998,429.72360671,-1971.7733983,-1.0000303296146673,65729.24423219998,63757.470833899984,1.5120290017433466,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-259e3e227adcfd5d-up-1644582240000000000,REVERSAL,SELL,1644582720000000000,1644582720000000000,1644585660000000000,43563.43,43684.77378,43209.259999999995,1912.6265122304,-1243.136,-1403.95188224,160.81588224,509.25029376,-1913.202176,-1.0003009807539103,63757.470833899984,61844.268657899986,1.547759858953271,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-950c09ec334f4360-down-1644648180000000000,REVERSAL,BUY,1644648780000000000,1644648780000000000,1644659580000000000,41963.68,41701.01774,42907.115000000005,1855.166875621805,2441.7383,2355.17416777,86.56413223,274.119752045,2081.054415725,1.1217613051804212,61844.268657899986,63925.32307362498,2.7036040257013023,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
baseline:long-btc,resolution-9e3a1c8bfecf8295-up-1644714660000000000,REVERSAL,SELL,1644714900000000000,1644714900000000000,1644725700000000000,42401.27,42481.67452,41979.15,1917.67222159929,1904.1174999999998,1701.27490761,202.84259239,642.334875935,1058.9400316749998,0.5522007461691606,63925.32307362498,64984.26310529998,2.490753340553361,ACCEPTED_BREAKOUT_FAILED_AND_TRAPPED_PARTICIPANTS
