policy,quarter,trades,wins,win_rate,pnl,mean_r,profit_factor
public_ichiv2_source,2024-Q1,228,80,0.3508771929824561,-7333.726655780982,-0.010776120022549988,0.802512094029265
public_ichiv2_source,2024-Q2,148,44,0.2972972972972973,-12265.281739056998,-0.031716148784051365,0.4871795782751592
public_ichiv2_source,2024-Q3,171,57,0.3333333333333333,-3896.2575735738246,-0.009328696174516852,0.8217780277233602
public_ichiv2_source,2024-Q4,253,84,0.33201581027667987,2351.2428887333936,0.004692636259866796,1.0611859712591365
public_ichiv2_source,2025-Q1,218,69,0.3165137614678899,-9717.483093390247,-0.0197820996431354,0.6845607430522813
public_ichiv2_source,2025-Q2,153,51,0.3333333333333333,-1719.065183342823,-0.005195589574510372,0.8880938856901593
public_ichiv2_source,2025-Q3,148,41,0.27702702702702703,-4681.160507422323,-0.01601342097393765,0.6458037920661465
public_ichiv2_source,2025-Q4,123,41,0.3333333333333333,-2134.9766449005297,-0.009149745957985025,0.8093507699043059
public_ichiv2_source,2026-Q1,121,30,0.24793388429752067,-4209.895214539653,-0.019569028604450707,0.6378007418244557
public_ichiv2_source,2026-Q2,77,24,0.3116883116883117,-2057.399239093382,-0.0159122746800974,0.6688031859648547
public_ichiv2_source,2026-Q3,18,8,0.4444444444444444,230.99445035349805,0.008032761776244216,1.20629735558627
claim_bridge,2024-Q1,285,119,0.41754385964912283,-13135.527724673633,-0.015459071962896814,0.8549979939281164
claim_bridge,2024-Q2,168,58,0.34523809523809523,-19928.89039988672,-0.051021222719260774,0.5672679505921493
claim_bridge,2024-Q3,198,78,0.3939393939393939,-6428.993999121665,-0.016190988743829647,0.8372076121130118
claim_bridge,2024-Q4,336,128,0.38095238095238093,-12336.019367516486,-0.02127480891712259,0.8341943761831702
claim_bridge,2025-Q1,265,104,0.39245283018867927,-8727.036751805068,-0.02409787225612342,0.7951504787204611
claim_bridge,2025-Q2,186,74,0.3978494623655914,-1831.4823408668765,-0.007588670783992242,0.918730851902397
claim_bridge,2025-Q3,169,60,0.35502958579881655,-4988.6420333041015,-0.027519215516819802,0.6933587669118007
claim_bridge,2025-Q4,143,64,0.44755244755244755,-995.9403136716862,-0.0066245723052932096,0.918572349822802
claim_bridge,2026-Q1,143,48,0.3356643356643357,-4686.830624863449,-0.03677633117752081,0.6355057504534728
claim_bridge,2026-Q2,88,28,0.3181818181818182,-2256.3566978352974,-0.03256593262128735,0.6646786441056727
claim_bridge,2026-Q3,23,9,0.391304347826087,365.15187252960845,0.021937833095547987,1.2856923907490667
claim_bridge_roi_only,2024-Q1,211,100,0.47393364928909953,-36804.10448858144,-0.06968648163896565,0.5627107294113781
claim_bridge_roi_only,2024-Q2,144,58,0.4027777777777778,-18782.466983087015,-0.07924711451207783,0.46106445359206877
claim_bridge_roi_only,2024-Q3,159,78,0.49056603773584906,2935.6560650004376,0.015083754345044685,1.1477318991557344
claim_bridge_roi_only,2024-Q4,272,149,0.5477941176470589,-1737.1493801186125,-0.0017830876272970707,0.9706454009686525
claim_bridge_roi_only,2025-Q1,222,114,0.5135135135135135,-15867.526106939642,-0.06131124430531783,0.6279416381622067
claim_bridge_roi_only,2025-Q2,161,83,0.515527950310559,-270.94590584036223,0.0001266703517379013,0.9837731499457077
claim_bridge_roi_only,2025-Q3,145,70,0.4827586206896552,-5260.103586189992,-0.04321980417177138,0.6327361870939872
claim_bridge_roi_only,2025-Q4,122,69,0.5655737704918032,-2246.104423400941,-0.024658535531005724,0.7779338587939465
claim_bridge_roi_only,2026-Q1,121,57,0.47107438016528924,-4473.438010695495,-0.06038900882210434,0.5713564046036563
claim_bridge_roi_only,2026-Q2,75,31,0.41333333333333333,-570.9606255967939,-0.013168829847741478,0.8460714821036655
claim_bridge_roi_only,2026-Q3,17,6,0.35294117647058826,-587.2423354171705,-0.06718455164873817,0.48311483937832056
