policy,exit_reason,trades,wins,losses,win_rate,pnl,mean_r,median_r,mean_hold_minutes,mean_mfe_fraction,mean_mae_fraction
public_ichiv2_source,EMA18_EXIT_SIGNAL,1648,519,1129,0.3149271844660194,-59888.43993388924,-0.015699550764696445,-0.04661149166446715,84.51456310679612,0.012895298573743889,-0.008284230977935108
public_ichiv2_source,TRAILING_STOP,9,9,0,1.0,11897.05831395101,0.5695485061261194,0.3651626395768572,108.88888888888889,0.12692653238209697,-0.01573390095293979
public_ichiv2_source,TRAILING_STOP_GAP,1,1,0,1.0,2558.3731079243585,1.1366717641954096,1.1366717641954096,120.0,0.19125785573585974,-0.00834818497326717
claim_bridge,EMA18_EXIT_SIGNAL,1257,63,1194,0.050119331742243436,-350137.619488073,-0.16913293624824768,-0.15762678952439255,54.79315831344471,0.005443170162430834,-0.010812942365439863
claim_bridge,HARD_STOP,5,0,5,0.0,-9751.459557404578,-1.0,-1.0,20.0,0.01256296836461206,-0.024231274180771378
claim_bridge,ROI_0.0100,341,341,0,1.0,90977.30999867372,0.16502307505465139,0.16502307505465147,59.34017595307918,0.011171333540283563,-0.0050778724309899735
claim_bridge,ROI_0.0100_GAP,205,205,0,1.0,91608.31557936326,0.26894043480093155,0.25636251207538546,45.0,0.020205942363852588,-0.003873686483793155
claim_bridge,ROI_0.0300,92,92,0,1.0,84027.77649725675,0.5533641000728686,0.5533641000728686,23.097826086956523,0.02417221097199783,-0.00480133808258868
claim_bridge,ROI_0.0300_GAP,4,4,0,1.0,3765.6817142140976,0.6078221022600152,0.6087593499863302,10.0,0.03618998620231212,-0.0057745838105820735
claim_bridge,ROI_0.0500,6,6,0,1.0,10192.206081940156,0.9417051250910858,0.9417051250910857,4.166666666666667,0.024227269002923785,-0.0025591894727292432
claim_bridge,ROI_0_CLOCK,80,59,21,0.7375,4962.439210424298,0.04080251196304227,0.04256530865258501,115.0,0.007424497568765726,-0.00529758709870917
claim_bridge,ROI_0_TOUCH,14,0,14,0.0,-595.2184174100626,-0.029147437454457102,-0.0291474374544571,123.57142857142857,0.0038971606771924477,-0.01054562505280003
claim_bridge_roi_only,HARD_STOP,205,0,205,0.0,-275349.9123879209,-1.0,-1.0,770.3414634146342,0.00459105515624372,-0.045773685133756785
claim_bridge_roi_only,ROI_0.0100,430,430,0,1.0,89190.52257886431,0.16502307505465139,0.16502307505465147,66.12790697674419,0.01076418591988663,-0.007380119534124957
claim_bridge_roi_only,ROI_0.0100_GAP,170,170,0,1.0,59545.516123477355,0.2678604841209891,0.2546361340151187,45.0,0.02040576747586541,-0.004002270684055484
claim_bridge_roi_only,ROI_0.0300,69,69,0,1.0,50327.16722787195,0.5533641000728686,0.5533641000728686,22.971014492753625,0.023912624856681,-0.004953488832835884
claim_bridge_roi_only,ROI_0.0300_GAP,2,2,0,1.0,1722.1621411483056,0.6068848545337004,0.6068848545337004,10.0,0.035773588936140466,-0.0057433887994173816
claim_bridge_roi_only,ROI_0.0500,3,3,0,1.0,4223.678017113986,0.9417051250910857,0.9417051250910858,5.0,0.03388293641485859,-0.0013815162036960131
claim_bridge_roi_only,ROI_0_CLOCK,210,141,69,0.6714285714285714,7181.7606857067985,0.0290497736610066,0.02107096975455202,115.0,0.00776041025251691,-0.007579901412467965
claim_bridge_roi_only,ROI_0_TOUCH,560,0,560,0.0,-20505.28016712883,-0.029147437454457106,-0.029147437454457102,388.7767857142857,0.00514978036247537,-0.01981167312753143
