policy,starting_nav,ending_nav,calendar_days,trades,trades_per_day,wins,losses,win_rate,gross_profit,gross_loss,profit_factor,mean_r,geometric_daily_growth,max_drawdown
public_ichiv2_source,100000.0,54566.99148798613,936,1658,1.7713675213675213,529,1129,0.319059107358263,165446.48843250598,210879.49694451987,0.7845546429581686,-0.011827654608497742,-0.0006469498657889483,0.4608109870357078
claim_bridge,100000.0,25049.431618984687,936,2004,2.141025641025641,770,1234,0.3842315369261477,290087.49869316246,365038.06707417784,0.7946773908218592,-0.022129386196231917,-0.0014778802003970748,0.7606266421622982
claim_bridge_roi_only,100000.0,16335.614219132882,936,1649,1.7617521367521367,815,834,0.4942389326864767,213464.43332127226,297128.8191021393,0.7184238606215203,-0.0342661612748622,-0.0019338355679500152,0.8430127937638929
