trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-8f5672a7d4034471-37537,LIMIT,BUY,125.083,3401.30,GTD,1.721356020000001e+18,125.083,MAKER,3401.31,0.009999999999763531,['170.17842349 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240719-012700-001-000-1,"['O-20240719-012700-001-000-2', 'O-20240719-012700-001-000-3']",,,,,['ENTRY'],a8785d45-1f7d-4b2d-a1da-06027a33287d,2024-07-19 01:27:00+00:00,2024-07-19 01:34:00+00:00
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-003,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-9f054badf03ec262-38528,LIMIT,SELL,125.083,3435.90,GTC,,125.083,MAKER,3435.89,0.010000000000218279,['171.90857155 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240719-012700-001-000-1,['O-20240719-012700-001-000-2'],O-20240719-012700-001-000-1,,,,['TAKE_PROFIT'],87399122-c81f-4fff-adba-84e63b1bb024,2024-07-19 01:27:00+00:00,2024-07-19 06:08:00+00:00
