plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,shock_sigma,shock_pressure,shock_activity,recovery_fraction,response_pressure,response_progress,basis_stress,basis_repair,oi_change,spot_confirmation,peer_response,context_direction,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
BTCUSDT:WASHOUT:HOUR:1754819100000000000:1:1754819400000000000:1754819580000000000,BTCUSDT:WASHOUT:HOUR:1754819100000000000:1:1754819400000000000,BTCUSDT,-1,1754819580000000000,1754819400000000000,118301.5,118411.90000000001,118178.0098253695,1.1185704223775996,118371.0,3.584962500721156,HOUR:1754819100000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,118411.8,118371.0,118411.8,118177.9098253695,INVENTORY_WASHOUT_RECLAIM,3.3367501038112404,-0.372177801870172,0.7413579174772548,0.4715888564975096,0.7978638609915512,0.6502378445969718,0.5990000000000002,1.6582000000000003,-7.830925326679505,-15.506671824105922,-0.2939426355651888,-1.0,1.169157297125703,1.2864858695651158,1.1185704223775996,1754820060000000000,0.10928549741609747,1,1,8.0,False,2025-08,0.5425586703104611,-0.012157396168678836
SOLUSDT:WASHOUT:HOUR:1754845980000000000:-1:1754846280000000000:1754846340000000000,SOLUSDT:WASHOUT:HOUR:1754845980000000000:-1:1754846280000000000,SOLUSDT,1,1754846340000000000,1754846280000000000,181.65,181.31,182.06343226653038,1.215977254501101,181.36,3.584962500721156,HOUR:1754845980000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,181.32,181.36,182.07343226653038,181.32,INVENTORY_WASHOUT_RECLAIM,3.1832197905044723,-0.37279096264332984,1.2870929982116932,0.43799557658937266,0.33354872714925005,0.840258799882957,-0.7555999999999994,2.6068,-15.990878548457488,-25.86896343147238,-0.9504008576101164,0.0,1.0581036739266572,0.6405176470588171,1.215977254501101,1754846700000000000,-0.968460340555754,0,0,6.0,False,2025-08,0.2893560732053504,-0.01763393830942728
XRPUSDT:WASHOUT:HOUR:1754859420000000000:-1:1754859720000000000:1754860080000000000,XRPUSDT:WASHOUT:HOUR:1754859420000000000:-1:1754859720000000000,XRPUSDT,1,1754860080000000000,1754859720000000000,3.1786,3.1668999999999996,3.193377040483915,1.2629949131550933,3.1754,3.584962500721156,HOUR:1754859420000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,3.167,3.1754,3.193477040483915,3.167,INVENTORY_WASHOUT_RECLAIM,3.0734377609924315,-0.12660395907169025,1.1776370952446964,0.43811543087857785,0.2881349199875447,1.0841530828020183,0.3109000000000002,-0.2789999999999999,-28.839422390127822,-48.34415317377383,0.8261657276201039,0.0,2.1869984601352286,0.32541025641024895,1.2629949131550933,1754861340000000000,-0.979914300076588,0,0,21.0,False,2025-08,0.6840697888542374,0.006057166931401665
XRPUSDT:WASHOUT:HOUR:1754932980000000000:1:1754933280000000000:1754933460000000000,XRPUSDT:WASHOUT:HOUR:1754932980000000000:1:1754933280000000000,XRPUSDT,-1,1754933460000000000,1754933280000000000,3.2075,3.2274000000000003,3.1842923117919755,1.1662154878404147,3.213,3.584962500721156,HOUR:1754932980000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,3.2273,3.213,3.2273,3.1841923117919753,INVENTORY_WASHOUT_RECLAIM,3.1693117901720407,-0.3555394906781966,1.336183336799369,0.459314818842782,-0.0372136195170883,1.5457535384851675,4.327000000000001,6.161899999999999,-1.6018409824880564,-64.21668627935917,-0.3854128153747921,-1.0,2.278555215989264,0.19401708542713325,1.1662154878404147,1754934060000000000,0.8573522091126569,1,1,10.0,False,2025-08,0.3957272379521546,-0.00835603491702517
SOLUSDT:WASHOUT:60:1754715600000000000:-1:1754935500000000000:1754935620000000000,SOLUSDT:WASHOUT:60:1754715600000000000:-1:1754935500000000000,SOLUSDT,1,1754935620000000000,1754935500000000000,177.27,176.52,178.1818409693694,1.2157879591591911,176.82,3.584962500721156,60:1754715600000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,176.53,176.82,178.1918409693694,176.53,INVENTORY_WASHOUT_RECLAIM,3.1074374366211357,-0.38488307979837383,1.4967025992583187,0.44528929881949625,-0.17408227593688308,0.7126709426192646,2.2723000000000004,4.0917,-10.318292115165661,-77.70309366155637,-0.8183794682954968,0.0,1.8431145067738302,0.283032,1.2157879591591911,1754937180000000000,0.785543828705799,1,1,26.0,False,2025-08,0.5210295127205198,-0.0024527646403648476
XRPUSDT:WASHOUT:60:1754816400000000000:-1:1754942040000000000:1754942340000000000,XRPUSDT:WASHOUT:60:1754816400000000000:-1:1754942040000000000,XRPUSDT,1,1754942340000000000,1754942040000000000,3.155,3.1431999999999998,3.183148262972689,2.3854460146346748,3.1511,3.584962500721156,60:1754816400000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,3.1433,3.1511,3.1832482629726893,3.1433,INVENTORY_WASHOUT_RECLAIM,3.1955475463281813,-0.2797992877446425,2.3501821749859397,0.2928788169838212,0.2569016394544561,0.2064887616061611,1.2919999999999994,2.7297,-97.23133227474534,-120.4226140638709,2.20056338246587,0.0,1.4332749335019377,0.3202474576271177,2.3854460146346748,1754942460000000000,-0.9801503036914774,0,0,2.0,False,2025-08,0.5158867333064189,0.009615003699667229
BTCUSDT:WASHOUT:HOUR:1754974740000000000:-1:1754975040000000000:1754975340000000000,BTCUSDT:WASHOUT:HOUR:1754974740000000000:-1:1754975040000000000,BTCUSDT,1,1754975340000000000,1754975040000000000,118763.5,118602.9,119048.03050549977,1.7716718897868189,118759.6,3.584962500721156,HOUR:1754974740000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,118603.0,118759.6,119048.13050549978,118603.0,INVENTORY_WASHOUT_RECLAIM,3.189851711121342,-0.3898303633358738,1.6202243686769775,0.3605684131214404,0.09139087782601346,0.15700708710083255,-2.2706999999999997,-2.6431999999999993,0.231251500526497,-18.230360394575484,-0.02116247318250985,-1.0,1.7510651519725566,0.8867985056039529,1.7716718897868189,1754976120000000000,-0.9622848978579354,0,0,13.0,False,2025-08,0.6133752476586035,-0.0008039196219075673
XRPUSDT:WASHOUT:HOUR:1754974800000000000:-1:1754975040000000000:1754975400000000000,XRPUSDT:WASHOUT:HOUR:1754974800000000000:-1:1754975040000000000,XRPUSDT,1,1754975400000000000,1754975040000000000,3.1515,3.1426999999999996,3.1603092208872967,1.0010478281018613,3.144,3.584962500721156,HOUR:1754974800000000000:-1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,3.1428,3.144,3.160409220887297,3.1428,INVENTORY_WASHOUT_RECLAIM,3.1954611283642302,-0.3621570365180879,1.757623671611809,0.4940593371894231,0.23622441535518435,0.4404161177901051,-0.8732000000000002,0.2835000000000001,3.5337203386021088,-36.14920222686058,0.9038812582997472,-1.0,1.845553255501477,0.42914999999998227,1.0010478281018613,1754976000000000000,-0.9755540158877873,0,0,10.0,False,2025-08,0.7182734075704138,0.0018498313900208226
ETHUSDT:WASHOUT:60:1754974800000000000:1:1754988120000000000:1754988480000000000,ETHUSDT:WASHOUT:60:1754974800000000000:1:1754988120000000000,ETHUSDT,-1,1754988480000000000,1754988120000000000,4320.33,4332.75,4300.498738075114,1.5967199617460734,4320.63,3.584962500721156,60:1754974800000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,4332.74,4320.63,4332.74,4300.488738075113,INVENTORY_WASHOUT_RECLAIM,3.641760515095655,-0.37386996735504524,1.7044087194671267,0.3847911448830404,0.30486600065744196,0.45213103124516335,0.8841000000000001,2.911,8.236013897136019,-69.29395239636094,0.07690609140420242,-0.0,1.8232037039172384,0.4180231884057946,1.5967199617460734,1754989680000000000,0.9077415326431832,1,1,20.0,False,2025-08,0.425629214315985,-0.006059053806165367
XRPUSDT:WASHOUT:HOUR:1754987820000000000:1:1754988120000000000:1754988660000000000,XRPUSDT:WASHOUT:HOUR:1754987820000000000:1:1754988120000000000,XRPUSDT,-1,1754988660000000000,1754988120000000000,3.1541,3.1633,3.142551655202844,1.2552548692561096,3.1555,3.584962500721156,HOUR:1754987820000000000:1,PRE_SHOCK_TRANSACTION_VALUE_OR_FIRST_OPPOSING_SWING,3.1632,3.1555,3.1632,3.142451655202844,INVENTORY_WASHOUT_RECLAIM,3.009854772826074,-0.17118873728135284,1.10156676778302,0.4385892026069975,0.20901694010937708,0.32397180173709805,3.2689000000000004,3.4719,2.1048658120648156,-41.89684285150097,1.3430720942153673,1.0,1.8628378599884936,0.4120043478260926,1.2552548692561096,1754989620000000000,0.6784633955076732,1,1,16.0,False,2025-08,0.7115350586586269,0.005550683319095508
