run_id,variant,segment,start_ns,end_ns,calendar_days,starting_nav,ending_nav,total_return,daily_geometric_return,trades,wins,losses,win_rate,profit_factor,expectancy_r,max_drawdown,maximum_consecutive_losses,largest_profit_share,reversal_trades,continuation_trades,rejected_orders,time_exits,missing_feature_bars,open_position_at_stop,native_account_final,native_expected_final,accounting_error,implementation_status
baseline:week-a,baseline,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,94091.462206725,-0.05908537793274993,-0.008662671609028116,2,0,2,0.0,0.0,-0.9997842611273051,0.05908537793274993,2,,2,0,0,0,0,False,95332.47296561,95332.47296561,0.0,OK
baseline:week-b,baseline,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,99869.59953715,-0.0013040046284999995,-0.00018639056745961557,1,0,1,0.0,0.0,-0.04346794610668902,0.0013040046284999995,1,,1,0,0,1,0,False,100409.46482491,100409.46482491,0.0,OK
baseline:week-c,baseline,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,93322.02140657499,-0.06677978593425016,-0.00982485733831251,5,1,4,0.2,0.42518844783402515,-0.439119492001318,0.08731657344200006,3,1.0,5,0,0,0,0,False,96601.52739574,96601.52739574,0.0,OK
no-acceptance:week-a,no-acceptance,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,92737.97494947498,-0.07262025050525012,-0.01071251406774787,8,2,6,0.25,0.5562956035518434,-0.2939475878210893,0.07610178108599996,3,0.5934546137244785,8,0,0,2,0,False,97104.79423543,97104.79423543,0.0,OK
no-acceptance:week-b,no-acceptance,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100023.978457425,0.00023978457424989053,3.425141949842114e-05,5,2,3,0.4,1.0134235378048515,0.0032554135764808157,0.01786299392425006,3,0.9985168781409868,5,0,0,5,0,False,102979.85560978,102979.85560978,0.0,OK
no-acceptance:week-c,no-acceptance,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,90522.48146530002,-0.0947751853469998,-0.014123873468551151,6,1,5,0.16666666666666666,0.33579423090834853,-0.5325834923305185,0.11469492027649986,4,1.0,6,0,0,0,0,False,94228.34536316,94228.34536316,0.0,OK
failure-retest:week-a,failure-retest,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,97000.50536245,-0.029994946375500042,-0.004341121057233388,1,0,1,0.0,0.0,-0.9998769249944347,0.029994946375500042,1,,1,0,0,0,0,False,97595.47990299,97595.47990299,0.0,OK
failure-retest:week-b,failure-retest,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,99904.688856,-0.0009531114400000984,-0.00013621442761857505,1,0,1,0.0,0.0,-0.031771471552003695,0.0009531114400000984,1,,1,0,0,1,0,False,100474.46780544,100474.46780544,0.0,OK
failure-retest:week-c,failure-retest,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,97000.276711375,-0.029997232886250003,-0.004341456340763439,1,0,1,0.0,0.0,-0.9999953597426927,0.029997232886250003,1,,1,0,0,0,0,False,97531.65639073,97531.65639073,0.0,OK
midpoint-target:week-a,midpoint-target,week-a,1644192000000000000,1644796800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
midpoint-target:week-b,midpoint-target,week-b,1686528000000000000,1687132800000000000,7.0,100000.0,100000.0,0.0,0.0,0,0,0,,,,0.0,0,,0,0,0,0,0,False,100000.0,100000.0,0.0,OK
midpoint-target:week-c,midpoint-target,week-c,1728864000000000000,1729468800000000000,7.0,100000.0,97000.2383701,-0.029997616298999885,-0.00434151256273041,1,0,1,0.0,0.0,-0.9999451013095735,0.029997616298999885,1,,1,0,0,0,0,False,97547.07572082001,97547.07572082,1.4551915228366852e-11,OK
