position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-55bdb1f4-bbc5-4402-b9fa-ec60299fdf9c,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-024500-001-000-1,O-20250303-024500-001-000-2,SELL,FLAT,0.000,8.953,1740969900000000000,2025-03-03 02:45:00+00:00,1740970020000000000,2025-03-03 02:47:00+00:00,120000000000,93031.4,93217.5,['1417.36344145 USDT'],-0.002,-3083.51674145 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-c2e45f29-0cfb-429e-aa57-c9dbb5ecb101,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-030500-001-000-4,O-20250303-030500-001-000-6,SELL,FLAT,0.000,7.529,1740971100000000000,2025-03-03 03:05:00+00:00,1740971700000000000,2025-03-03 03:15:00+00:00,600000000000,93171.4,92909.1,['806.11813418 USDT'],0.00282,1168.73856582 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-56a86962-dfcf-4df7-8987-e7a515a9c37c,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-164500-001-000-7,O-20250303-164500-001-000-9,BUY,FLAT,0.000,7.873,1741020300000000000,2025-03-03 16:45:00+00:00,1741021620000000000,2025-03-03 17:07:00+00:00,1320000000000,90019.3,90398.7,['815.92634610 USDT'],0.00421,2171.08985390 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-66f9098e-424c-4b67-bbc6-3b59fe65a4fa,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250303-204500-001-000-10,O-20250303-204500-001-000-12,BUY,FLAT,0.000,7.558,1741034700000000000,2025-03-03 20:45:00+00:00,1741034880000000000,2025-03-03 20:48:00+00:00,180000000000,85371.6,85775.4,['742.93991184 USDT'],0.00473,2308.98048816 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-5d227c77-faef-484f-b7e4-37c9e81154d3,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250304-033000-001-000-13,O-20250304-033000-001-000-15,SELL,FLAT,0.000,7.673,1741059000000000000,2025-03-04 03:30:00+00:00,1741060020000000000,2025-03-04 03:47:00+00:00,1020000000000,83981.1,83557.2,['740.06925194 USDT'],0.00505,2512.51544806 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-c11f9afb-a4ad-47d9-a3dc-b78690000d61,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250304-054500-001-000-16,O-20250304-054500-001-000-17,SELL,FLAT,0.000,8.096,1741067100000000000,2025-03-04 05:45:00+00:00,1741068240000000000,2025-03-04 06:04:00+00:00,1140000000000,84100.0,84354.59999999999,['1159.23717536 USDT'],-0.00303,-3220.47877536 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-49c10bcf-757e-4e61-aefa-4cdc9d9e9c3a,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250304-081500-001-000-19,O-20250304-081500-001-000-21,BUY,FLAT,0.000,7.756,1741076100000000000,2025-03-04 08:15:00+00:00,1741076280000000000,2025-03-04 08:18:00+00:00,180000000000,83244.09999999999,83345.5,['742.72336306 USDT'],0.00122,43.73503694 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-aa8f2ea4-19c3-4fac-90a1-628a1e8fc7d7,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250305-162000-001-000-22,O-20250305-162000-001-000-24,BUY,FLAT,0.000,5.531,1741191600000000000,2025-03-05 16:20:00+00:00,1741192800000000000,2025-03-05 16:40:00+00:00,1200000000000,87967.2,88250.4,['559.99848444 USDT'],0.00322,1006.38071556 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-b6fffa19-ef70-47f1-81c4-e64769aded80,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250305-185000-001-000-25,O-20250305-185000-001-000-27,BUY,FLAT,0.000,6.280,1741200600000000000,2025-03-05 18:50:00+00:00,1741201020000000000,2025-03-05 18:57:00+00:00,420000000000,89259.8,89568.0,['645.21492440 USDT'],0.00345,1290.28107560 USDT,True
BTCUSDT-PERP.BINANCE-V53RotationStrategy-000-7d7feab0-d4c6-4405-821e-c7ba81492495,BACKTESTER-001,V53RotationStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250307-154500-001-000-28,O-20250307-154500-001-000-29,BUY,FLAT,0.000,4.586,1741362300000000000,2025-03-07 15:45:00+00:00,1741364520000000000,2025-03-07 16:22:00+00:00,2220000000000,88482.59999999999,87942.20000000001,['687.72151288 USDT'],-0.00611,-3165.99591288 USDT,True
